pays;volet;indicateur;valeur;unite_devise;annee_perimetre;source_nom;url;date_consultation;divergence_notes
Afrique du Sud;change;Contre-valeur en rands du paquet au taux de marche de novembre 2021;132,0;milliards de ZAR;novembre 2021, 8,5 Md USD x 15,5313;Calcul de l'auteur sur Federal Reserve G.5;https://www.federalreserve.gov/releases/g5/20211201/;2026-09-08;Arithmetique de l'auteur.
Afrique du Sud;besoin;Plan energetique national en vigueur a la signature;Integrated Resource Plan 2019 (IRP2019);reference;promulgue au Government Gazette no 42778, Notice 1359, 18 octobre 2019, en vigueur en novembre 2021;Department of Mineral Resources and Energy, Republic of South Africa;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;Miroir DMRE: https://www.dmre.gov.za/Portals/0/Energy_Website/IRP/2019/IRP-2019.pdf
Afrique du Sud;besoin;Montant d'investissement total requis par l'IRP2019;non trouve - le document ne chiffre pas l'investissement;sans objet;IRP2019, 94 pages;Department of Mineral Resources and Energy, IRP2019;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;RESULTAT NEGATIF EXPLICITE. Recherche sur le texte integral extrait au pdftotext (5624 lignes), motifs testes: billion, trillion, R[0-9]+ billion/trillion, US$, capital cost, capital expenditure, total investment, investment of/requirement/required. AUCUNE occurrence d'un montant d'investissement total. Les seules sommes en rands du document sont hors sujet: R13,5 md (raccordements reseau) et R400 md (remarque de consultation sur la dette d'Eskom). Le document raisonne en R/MW (overnight capital cost) et en LCOE, sans total agrege. Recherches web complementaires infructueuses.
Afrique du Sud;besoin;Capacite totale installee visee en 2030 par l'IRP2019;33364 charbon, 17742 eolien, 8288 solaire PV, 6380 gaz et diesel, 5000 stockage, 4600 hydro, 1860 nucleaire, 600 CSP;MW;horizon 2030, Table 5 de l'IRP2019;IRP2019, Table 5, page 39 du document (page 43 du Gazette no 42778);https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;Table lue sur la page rendue en image, l'extraction texte deformant la table en mode paysage. ECART INTERNE A LA TABLE 5 SIGNALE: pour Gas & Diesel, base 3830 plus allocations 2500 = 6330, mais le total imprime est 6380 (ecart de 50 MW). Non corrige.
Afrique du Sud;besoin;Base installee 2019 selon l'IRP2019;37149 charbon, 3830 gaz et diesel, 2912 stockage, 2100 hydro, 1980 eolien, 1860 nucleaire, 1474 solaire PV, 499 distribue, 300 CSP;MW;base 2019, Table 5 de l'IRP2019;IRP2019, Table 5;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;
Afrique du Sud;besoin;Nouvelles capacites a ajouter 2019-2030 selon l'IRP2019 (CALCUL DERIVE);41196;MW;2019-2030, hors decommissionnement et hors prolongation de Koeberg;Calcul de l'auteur sur la Table 5 de l'IRP2019;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;CALCUL DERIVE, ce total n'est PAS imprime dans l'IRP2019. Detail: eolien 15762, charbon 7232, solaire PV 6814, distribue 4000, hydro 2500, gaz et diesel 2500, stockage 2088, CSP 300. Controles de coherence avec les totaux imprimes: charbon 37149 moins 11017 plus 7232 = 33364 OK, eolien 1980 plus 15762 = 17742 OK, PV 1474 plus 6814 = 8288 OK, stockage 2912 plus 2088 = 5000 OK, hydro 2100 plus 2500 = 4600 OK.
Afrique du Sud;besoin;Decommissionnement de charbon prevu 2019-2030 par l'IRP2019 (CALCUL DERIVE);-11017;MW;2019-2030;Calcul de l'auteur sur la Table 5 de l'IRP2019;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;CALCUL DERIVE, somme des allocations annuelles negatives imprimees. Controle: 37149 moins 11017 plus 7232 = 33364, egal au total imprime.
Afrique du Sud;besoin;Decommissionnement de charbon prevu au-dela de 2030;24100;MW;periode 2030-2050;IRP2019, paragraphe 5.3.2, Policy Position 4;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;Verbatim: Due to the expected decommissioning of approximately 24 100 MW of coal power plants in the period beyond 2030 to 2050... Policy Position 4: Convene a team to put together a just transition plan within a year.
Afrique du Sud;besoin;Capacite deja engagee mentionnee par l'IRP2019;18000;MW;au moment de la promulgation, octobre 2019;IRP2019, page 13 du Gazette;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;Verbatim: In total, 18 000MW of new generation capacity has been committed to. Dont A total 6 422 MW under the Renewable Energy Independent Power Producers Programme (REIPPP) has been procured, with 3 876 MW operational.
Afrique du Sud;besoin;Deficit de capacite de court terme identifie par l'IRP2019;2000;MW;court terme, 2019;IRP2019, Policy Position 1;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;Verbatim: The short-term gap in this regard is estimated to be about 2 000 MW.
Afrique du Sud;besoin;Besoin de financement du JET IP 2023-2027;1480 milliards de ZAR soit 98,7 milliards de USD;milliards de ZAR et de USD;2023-2027, cinq secteurs: electricite, vehicules electriques, hydrogene vert, competences, capacite municipale;JET IP 2023-2027, Table 2, page 8;https://assets.bbhub.io/company/sites/63/2022/11/south-africa_s-just-energy-transition-investment-plan-2023-2027.pdf;2026-09-08;POSTERIEUR A LA SIGNATURE (novembre 2022). DIVERGENCE INTERNE: la Table 2 donne Electricity Sector 711,4 md ZAR (47,2 Md USD) tandis que la Table 1 donne Electricity 1030 md ZAR (68,7 Md USD) - la Table 1 y agrege apparemment la capacite municipale (319,1). Les deux valeurs conservees, non arbitrees. DIVERGENCE EXTERNE avec les 30 Md USD estimes par les autorites en fevrier 2022 (FMI CR 22/37).
Afrique du Sud;besoin;Paquet JETP en pourcentage du besoin total du JET IP;8,61;pourcentage;2023-2027, 8,5/98,7;Calcul de l'auteur sur JET IP Table 2;https://assets.bbhub.io/company/sites/63/2022/11/south-africa_s-just-energy-transition-investment-plan-2023-2027.pdf;2026-09-08;Arithmetique de l'auteur. Rapporte au poste Electricity au sens large de la Table 1: 8,5/68,7 = 12,37 pourcent. Au sens strict de la Table 2: 8,5/47,2 = 18,01 pourcent.
Afrique du Sud;besoin;Part du besoin couverte par le paquet, selon le JET IP lui-meme;approximativement 12;pourcentage du financement necessaire;2023-2027;JET IP 2023-2027, paragraphe 6.1, page 129;https://assets.bbhub.io/company/sites/63/2022/11/south-africa_s-just-energy-transition-investment-plan-2023-2027.pdf;2026-09-08;Verbatim: The offers align with the financing principles to varying degrees and contribute towards approximately 12% of the financing needed, primarily geared towards: the decommissioning of coal plants, funding alternative job opportunities in coal mining areas, and deployment of renewable energy.
Afrique du Sud;besoin;Verdict sur le caractere significatif ou marginal du paquet;marginal au regard du besoin chiffre par le gouvernement sud-africain lui-meme;qualitatif;2023-2027;Synthese de l'auteur sur JET IP et FMI CR 22/37;https://assets.bbhub.io/company/sites/63/2022/11/south-africa_s-just-energy-transition-investment-plan-2023-2027.pdf;2026-09-08;8,6 pourcent du besoin total JET IP, environ 12 pourcent du volet electricite, et seulement 3,9 pourcent de dons (330 M USD, soit 0,33 pourcent du besoin total). Ce constat ne peut PAS etre fait contre l'IRP2019, qui ne chiffre pas l'investissement requis. Rapporte au besoin de soutien international de 30 Md USD estime par les autorites en fevrier 2022, la part est de 28,3 pourcent.
Afrique du Sud;besoin;Chiffrage tiers de l'investissement eolien et solaire de l'IRP2019;30;milliards de USD cumules d'ici 2030;2020-2030, eolien et solaire PV UNIQUEMENT;BloombergNEF, cite dans un extrait de resultat de recherche;https://www.gov.za/sites/default/files/gcis_document/201910/42778gon1359.pdf;2026-09-08;SOURCE FAIBLE: provient d'un snippet de resultat de recherche, pas d'une page lue integralement. Ne couvre que l'eolien et le PV, hors reseau, stockage, gaz et decommissionnement. Non retenu comme donnee fiable. Rapporte a ce seul chiffre, 8,5/30 = 28 pourcent, indicatif seulement.
Afrique du Sud;contexte;Montant du paquet JETP;8,5;milliards de USD;annonce le 2 novembre 2021, sur trois a cinq ans;The Presidency RSA, communique du 2 novembre 2021;https://www.thepresidency.gov.za/south-africa-establishes-historic-international-partnership-support-just-transition;2026-09-08;Verbatim: $8.5 billion (R131 billion) over the next three to five years. Instruments: grants and concessional finance puis multilateral and bilateral grants, concessional loans, guarantees and private investments, and technical support. Partenaires: France, Germany, the United Kingdom and the United States, as well as the European Union. Le JET IP precise: an initial US$8.5 billion between 2023 and 2027, subject to concurrence on an investment framework.
Afrique du Sud;contexte;Texte integral de la declaration politique du 2 novembre 2021;non trouve;sans objet;2 novembre 2021;gov.uk, Commission europeenne, ambassade des Etats-Unis en Afrique du Sud;https://www.thepresidency.gov.za/south-africa-establishes-historic-international-partnership-support-just-transition;2026-09-08;La page gov.uk attendue renvoie HTTP 404 au 2026-09-08. Le PDF de la Commission europeenne (IP/21/5768) n'est pas extractible en texte. La page de l'ambassade des Etats-Unis renvoie HTTP 403. Le contenu est rapporte via des reprises officielles: Presidency RSA, JET IP qui cite le paragraphe 17 de la declaration, US Treasury.
Afrique du Sud;contexte;Date de remise du JET IP;7 novembre 2022, COP27 a Charm el-Cheikh;date;novembre 2022;U.S. Department of the Treasury, communique JY1085 du 7 novembre 2022;https://home.treasury.gov/news/press-releases/jy1085;2026-09-08;Verbatim: One year ago at COP26... the International Partners Group pledged $8.5 billion, including over $1 billion from United States Government agencies.
Afrique du Sud;contexte;Texte de la declaration politique du 2 novembre 2021 - paragraphe 17;Subject to concurrence on the investment framework, and in line with budgetary procedures and consensus on the use of funds and terms on which finance may be provided, mobilise an initial amount of approximately $8.5 billion over the next three to five years through a combination of appropriate financial instruments, which may include but is not limited to multilateral and bilateral grants, concessional loans, guarantees and private investments, and technical support;citation;2 novembre 2021, premiere publication a 15:19:29 UTC;Prime Minister's Office (Royaume-Uni), Joint Statement: International Just Energy Transition Partnership, contenant le texte de la Political Declaration;https://www.gov.uk/government/news/joint-statement-international-just-energy-transition-partnership;2026-09-08;RECTIFICATION: la page gov.uk sous /government/publications/cop26-... renvoie HTTP 404, mais le document est publie comme news story a cette autre adresse. Verifie via l'API de contenu gov.uk (metadonnee first_published_at). Le montant est approximately, l'engagement est subject to concurrence on the investment framework et in line with budgetary procedures, et la liste d'instruments est may include but is not limited to - aucune proportion, aucun plancher de dons.
Afrique du Sud;contexte;Objectif d'emissions evitees du partenariat;1 a 1,5;gigatonnes de CO2 sur 20 ans;annonce du 2 novembre 2021;Joint Statement: International Just Energy Transition Partnership;https://www.gov.uk/government/news/joint-statement-international-just-energy-transition-partnership;2026-09-08;Verbatim: The Partnership is expected to prevent up to 1-1.5 gigatonnes of emissions over the next 20 years.
Afrique du Sud;contexte;Priorite du partenariat visant explicitement Eskom;South Africa's nationally determined efforts to successfully and sustainably manage Eskom's debt, define the role of the private sector, and create an enabling environment through policy reform in the electricity sector, such as unbundling and improved revenue collection;citation;2 novembre 2021, Political Declaration;Political Declaration on the Just Energy Transition in South Africa;https://www.gov.uk/government/news/joint-statement-international-just-energy-transition-partnership;2026-09-08;La declaration nomme elle-meme la dette d'Eskom et le recouvrement des recettes comme priorites du partenariat.
Afrique du Sud;contexte;Etat de programmation du paquet un an apres la signature;600 sur 8500 engages concretement;millions de USD;7 novembre 2022;Joint Statement: South Africa Just Energy Transition Investment Plan, gouvernement britannique;https://www.gov.uk/government/news/joint-statement-south-africa-just-energy-transition-investment-plan;2026-09-08;Seul decaissement concret annonce: France and Germany are providing $600 million ($300 million each) for a concessional policy loan to South Africa. Restaient non programmes: 2,2 Md USD de prets souverains (AFD, KfW, BEI), 1,5 Md USD de soutien DFI au secteur prive, 1,3 Md USD de garanties britanniques adossees a des prets de la BAD. Verbatim: Some of this funding is already programmed while other parts of it have still to be finalised and programmed.
Afrique du Sud;contexte;Ventilation du paquet par partenaire;France 1002,5, Allemagne 968, Royaume-Uni 1824, Etats-Unis 1021,5, Union europeenne 1030, CIF/ACT 2605;millions de USD;engagement 2023-2027;Joint Statement du 7 novembre 2022 et JET IP Table 28;https://www.gov.uk/government/news/joint-statement-south-africa-just-energy-transition-investment-plan;2026-09-08;Note de bas de page du communique: Some IPG contributions will be made in the provider's domestic currency, which may be impacted by fluctuations in conversion against the dollar which means that the numbers may not total exactly $8.5 billion. As of the date of finalising the Investment Plan they totalled $8.455 billion. Le poste CIF/ACT repose sur l'hypothese que 500 M USD de financement concessionnel will leverage an additional $2.1 billion in finance including World Bank and African Development Bank loans.
Afrique du Sud;souverain;Encours de dette externe totale fin decembre 2021 (SARB);160,5 Md USD soit R2550 md;milliards de USD et de ZAR;fin decembre 2021, total foreign debt, tous secteurs;South African Reserve Bank, Quarterly Bulletin no 304, juin 2022, section Foreign debt, p.52-53;https://www.resbank.co.za/content/dam/sarb/publications/quarterly-bulletins/quarterly-bulletin-publications/2022/june/01Full%20Quarterly%20Bulletin.pdf;2026-09-08;DIVERGENCE MAJEURE avec la Banque mondiale qui donne 169,45 Md USD pour la meme date, soit un ecart de 8,9 Md USD (5,6 pourcent). Cause NON ETABLIE, aucune note de rapprochement publiee trouvee. Les deux valeurs conservees. Le FMI cite Sources: South African Reserve Bank pour ses graphiques de dette externe et travaille donc sur la base SARB.
Afrique du Sud;souverain;Dette externe en pourcentage du PIB fin decembre 2021 (SARB);38,1;pourcentage du PIB;fin decembre 2021;SARB, Quarterly Bulletin no 304;https://www.resbank.co.za/content/dam/sarb/publications/quarterly-bulletins/quarterly-bulletin-publications/2022/june/01Full%20Quarterly%20Bulletin.pdf;2026-09-08;Contre 40,0 pourcent fin septembre 2021. Ratio dette externe sur recettes d'exportation: 113,0 pourcent.
Afrique du Sud;souverain;Dette externe totale a la derniere observation publiee AVANT la signature;165,0 Md USD soit R2498 md, 40,0 pourcent du PIB;milliards de USD et de ZAR;fin septembre 2021;SARB, Quarterly Bulletin no 303, mars 2022, et QB no 304;https://www.resbank.co.za/content/dam/sarb/publications/quarterly-bulletins/quarterly-bulletin-publications/2022/march/01Full%20Quarterly%20Bulletin.pdf;2026-09-08;C'est la derniere observation disponible au moment de la declaration du 2 novembre 2021.
Afrique du Sud;change;Decomposition par devise de la dette externe sud-africaine fin 2021;81,5 en devises etrangeres et 79,0 en rands;milliards de USD;fin decembre 2021, total foreign debt 160,5 Md USD;SARB, Quarterly Bulletin no 304, table Foreign debt;https://www.resbank.co.za/content/dam/sarb/publications/quarterly-bulletins/quarterly-bulletin-publications/2022/june/01Full%20Quarterly%20Bulletin.pdf;2026-09-08;79,0/160,5 = 49,2 pourcent de la dette externe etait libellee en RANDS, ce qui chiffre exactement l'affirmation du FMI (rand-denominated external debt representing half of the total). Corollaire: 81,5 Md USD seulement portaient un risque de change, et le paquet JETP integral s'ajouterait entierement a ce sous-ensemble (8,5/81,5 = 10,4 pourcent). Detail devises: secteur public 16,3, secteur monetaire 14,6, prive non monetaire 22,8.
Afrique du Sud;souverain;Paquet JETP en pourcentage de l'encours de dette externe, base SARB;5,30;pourcentage;fin 2021, 8,5/160,5;Calcul de l'auteur sur SARB QB no 304;https://www.resbank.co.za/content/dam/sarb/publications/quarterly-bulletins/quarterly-bulletin-publications/2022/june/01Full%20Quarterly%20Bulletin.pdf;2026-09-08;Base Banque mondiale: 5,02 pourcent. Part reellement generatrice de dette (6,825 Md USD) base SARB: 4,25 pourcent. Rapportee a la seule dette en devises (81,5 Md USD): 8,37 pourcent.
Afrique du Sud;souverain;PIB nominal 2021 (FMI WEO);419878000000;USD courants;2021 annee civile;FMI, World Economic Outlook, indicateur NGDPD, via IMF DataMapper;https://www.imf.org/external/datamapper/api/v1/NGDPD/ZAF;2026-09-08;DIVERGENCE MINEURE avec le WDI (419986284375), soit 0,108 Md USD ou 0,026 pourcent. Negligeable mais reelle, les deux conservees.
Afrique du Sud;souverain;PIB nominal 2021 (Statistics South Africa);6,21 billions de ZAR;ZAR courants;2021 annee civile, prix du marche;Statistics South Africa, Gross domestic product Fourth quarter 2021, Statistical Release P0441;https://www.statssa.gov.za/publications/P0441/P04414thQuarter2021.pdf;2026-09-08;Verbatim: The nominal gross domestic product at market prices in 2021 was R6,21 trillion, which is R685 billion more than in 2020. Coherent avec le WDI (R6206,8 md).
Afrique du Sud;souverain;Taux de change officiel moyen 2021 (Banque mondiale);14,778678;ZAR par 1 USD, moyenne annuelle;2021 annee civile;Banque mondiale, WDI, PA.NUS.FCRF;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_PA_NUS_FCRF&REF_AREA=ZAF&timePeriodFrom=2021&timePeriodTo=2021;2026-09-08;A DISTINGUER du taux de novembre 2021 (15,5313, Federal Reserve). Coherence interne WDI: 6206842061200/419986284375 = 14,7787. Au taux annuel moyen, le paquet vaut R125,62 md - une QUATRIEME contre-valeur en rands, a ajouter aux trois du volet change (R128, R131, R132).
Afrique du Sud;souverain;Dette des administrations publiques 2021 (FMI WEO);68,8;pourcentage du PIB;2021, general government gross debt, perimetre statistiques de finances publiques, hors dette d'Eskom;FMI, World Economic Outlook, GGXWDG_NGDP, via IMF DataMapper;https://www.imf.org/external/datamapper/api/v1/GGXWDG_NGDP/ZAF;2026-09-08;TROISIEME perimetre, a distinguer des 69,9 pourcent du Tresor (gross loan debt du budget principal) et des 70,7 pourcent du FMI Table 2 (national government debt). Serie: 56,1 (2019), 68,9 (2020), 68,8 (2021), 70,7 (2022), 73,2 (2023).
Afrique du Sud;souverain;Rebasage des comptes nationaux sud-africains en aout 2021;la dette brute 2020/21 passe de 78,8 a 70,7 pourcent du PIB avant/apres rebasage;pourcentage du PIB;aout 2021;National Treasury, MTBPS 2021, et FMI CR 22/37 Annexe VIII note 2;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;ELEMENT INDISPENSABLE POUR LIRE LES RATIOS. Verbatim FMI: there was a revision to the national accounts that resulted in an average GDP level increase of about 10 percent. As a result, historical fiscal ratios (debt-to-GDP, fiscal deficit-to-GDP) are lower than previously reported. Toute comparaison avec des publications anterieures a aout 2021 est invalide sans retraitement, et une part de l'amelioration apparente de la position budgetaire a la date de signature est un artefact statistique.
Afrique du Sud;souverain;Dette publique brute 2021/22 en niveau (MTBPS novembre 2021);4313,9;milliards de ZAR, soit 69,9 pourcent du PIB;exercice 2021/22, gross loan debt du budget principal, gouvernement national, hors SOE;National Treasury, MTBPS 2021, chapitre 3 et tableau 3.10;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;Dette NETTE 2021/22: R4089,0 md soit 66,2 pourcent du PIB. Realise 2020/21: R3935,7 md soit 70,7 pourcent.
Afrique du Sud;souverain;Dette publique brute 2021/22 (Budget Review fevrier 2022);4345,7;milliards de ZAR, soit 69,5 pourcent du PIB;exercice 2021/22, meme perimetre;National Treasury, Budget Review 2022, ISBN 978-0-621-49977-3, RP07/2022, tableau 1.6;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;TROISIEME valeur pour le meme exercice: 69,9 (MTBPS nov 2021), 70,7 (FMI Table 2), 69,5 (Budget Review fev 2022). Dette nette: R4060 md soit 64,9 pourcent.
Afrique du Sud;souverain;Revision de la trajectoire de dette entre novembre 2021 et fevrier 2022;pic ramene de 78,1 pourcent en 2025/26 a 75,1 pourcent en 2024/25;pourcentage du PIB;MTBPS novembre 2021 puis Budget Review fevrier 2022;National Treasury RSA;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;DIVERGENCE ENTRE DEUX ANNONCES OFFICIELLES SUCCESSIVES A TROIS MOIS D'ECART, grace a un surcroit de recettes de R181,9 md par rapport au Budget 2021. Verbatim BR2022: a year earlier than estimated. Avec la projection FMI (88 pourcent en 2026 sans stabilisation), cela fait TROIS trajectoires officielles publiees en quatre mois, ecartees de treize points a l'horizon 2026.
Afrique du Sud;souverain;Scenario alternatif du MTBPS 2021;stabilisation a 79,9 pourcent du PIB si les conditions financieres se tendent;pourcentage du PIB;annexe A du MTBPS 2021;National Treasury, MTBPS 2021, annexe A;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;
Afrique du Sud;souverain;Service de la dette 2021/22 (Budget Review 2022);268,3;milliards de ZAR, soit 4,3 pourcent du PIB;exercice 2021/22, budget principal;National Treasury, Budget Review 2022;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;Le MTBPS de novembre 2021 donnait R269,2 md, soit 14,2 pourcent des depenses du budget principal. Projete a R365,8 md soit 5,1 pourcent du PIB en 2024/25, et 17,9 pourcent des depenses.
Afrique du Sud;souverain;Service de la dette en pourcentage des recettes du budget principal 2021/22;17,3;pourcentage des recettes;exercice 2021/22;Calcul de l'auteur sur Budget Review 2022 (R268,3 md sur R1549,1 md);https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;COMPARAISON DECISIVE: le paquet JETP entier, etale sur cinq ans (R25,1 md par an), pese chaque annee environ un dixieme de ce que coutait deja le service de la dette.
Afrique du Sud;souverain;Passifs eventuels projetes 2022/23;1170;milliards de ZAR, soit environ 18 pourcent du PIB;exercice 2022/23, contingent liabilities;National Treasury, Budget Review 2022;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;
Afrique du Sud;souverain;Ancre budgetaire effective: plafond de depenses du budget principal;en place depuis le Budget 2012, DEPASSE de R56 md en 2021/22;qualitatif et milliards de ZAR;exercice 2021/22;National Treasury, MTBPS 2021, section Expenditure ceiling;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;Verbatim: The main budget expenditure ceiling provides an upper limit within which departments prepare their budgets. It has anchored fiscal policy since the 2012 Budget. In the current year, expenditure is expected to breach the 2021 Budget Review ceiling of R1.51 trillion by R56 billion. LA SEULE ANCRE BUDGETAIRE EN VIGUEUR ETAIT EN DEPASSEMENT L'ANNEE MEME DE LA SIGNATURE.
Afrique du Sud;souverain;Intention du Tresor de creer une nouvelle ancre budgetaire;options a considerer pour introduction dans le cadre MTEF 2023;qualitatif;fevrier 2022;National Treasury, Budget Review 2022;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;Verbatim: the National Treasury is assessing the potential for a more robust fiscal anchor. Over the next year, options will be considered for introduction in the 2023 MTEF period. Confirme qu'aucune ancre de dette n'existait a la signature.
Afrique du Sud;souverain;Recettes du budget principal 2021/22 (Budget Review fevrier 2022);1549,1;milliards de ZAR, soit 24,8 pourcent du PIB;exercice 2021/22, estimation revisee;National Treasury, Budget Review 2022, tableau 4.1 et annexe statistique;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;DIVERGENCE DE MILLESIME: le MTBPS du 11 novembre 2021 donnait R1483,2 md pour le meme exercice, soit un ecart de R66 md a trois mois d'ecart. Le Budget Review 2022 releve le total de R181,9 md par rapport au Budget 2021. Cette instabilite du denominateur est elle-meme un element de reponse: toute evaluation d'absorbabilite faite au 2 novembre 2021 reposait sur une base qui a bouge de 4,5 pourcent en trois mois.
Afrique du Sud;souverain;Recettes fiscales brutes 2021/22 (Budget Review 2022);1547,1;milliards de ZAR, soit 24,7 pourcent du PIB;exercice 2021/22, revise;National Treasury, Budget Review 2022;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;Le MTBPS de novembre 2021 donnait R1485,4 md.
Afrique du Sud;souverain;Recettes budgetaires consolidees 2021/22 (Tresor);1721,3;milliards de ZAR;exercice 2021/22, perimetre consolide du Tresor;National Treasury, Budget Review 2022;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;DIVERGENCE avec le FMI qui donne R1643 md de Total revenue and grants pour son perimetre de gouvernement consolide, soit un ecart de R78 md. Perimetres de consolidation differents.
Afrique du Sud;souverain;Paquet JETP en pourcentage des recettes du budget principal - fourchette selon millesime et taux;de 8,11 a 8,90;pourcentage des recettes annuelles;exercice 2021/22;Calcul de l'auteur sur MTBPS 2021, Budget Review 2022, Fed G.5 et WDI PA.NUS.FCRF;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;ENCOURS, pas service de la dette. Quatre combinaisons: R132,0 md (taux nov 2021) sur R1483,2 md = 8,90 pourcent, sur R1549,1 md = 8,52 pourcent. R125,6 md (taux moyen 2021) sur R1483,2 md = 8,47 pourcent, sur R1549,1 md = 8,11 pourcent. Base recettes consolidees Tresor: 7,30 a 7,67 pourcent.
Afrique du Sud;souverain;Paquet JETP etale sur cinq ans en pourcentage des recettes annuelles;1,62;pourcentage des recettes du budget principal par an;2023-2027, R125,6 md divises par 5 puis rapportes a R1549,1 md;Calcul de l'auteur;https://www.treasury.gov.za/documents/national%20budget/2022/review/FullBR.pdf;2026-09-08;Arithmetique de l'auteur.
Afrique du Sud;souverain;Programme d'emprunt externe annuel de l'Etat sud-africain 2021/22;5,3;milliards de USD;exercice 2021/22;National Treasury, MTBPS 2021;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;REPERE D'ECHELLE DECISIF. Verbatim: In 2021/22, government will raise US$5.3 billion to meet its foreign currency commitments by raising funds in global capital markets and sourcing lower-cost funding from international financing institutions. To date, government has raised an additional US$1 billion economic recovery loan from the New Development Bank. In addition, South Africa received about US$4.2 billion in August 2021 from the IMF in terms of the general SDR allocation. Le programme d'emprunt externe ordinaire d'UNE SEULE annee etait du meme ordre de grandeur que la totalite du paquet JETP etale sur trois a cinq ans.
Afrique du Sud;souverain;Taux d'interet implicite de la dette souveraine sud-africaine (CALCUL DERIVE);environ 6,6;pourcentage;projection 2024/25, R365,8 md de service sur un encours de R5537,6 md;Calcul de l'auteur sur MTBPS 2021;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;CALCUL DERIVE. Reference de marche a laquelle tout financement concessionnel doit se comparer. Le JET IP pose comme principe de financement no v: Any debt-related terms for the sovereign should be more attractive than South Africa's National Treasury could secure in the capital markets without unduly onerous reporting requirements. L'ecart exact reste non calculable, les conditions n'etant pas publiees.
Afrique du Sud;souverain;Traitement du JETP dans l'Article IV 2021 du FMI;deux mentions, aucune analyse d'absorbabilite;qualitatif;fevrier 2022;FMI, Country Report No. 22/37, paragraphe 51 et declaration de l'administrateur paragraphe 22;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;RESULTAT NEGATIF DOCUMENTE, obtenu par lecture integrale du rapport. Paragraphe 51: The authorities welcomed the financial support pledged to South Africa's green transition at the COP26 climate summit. Le FMI n'a produit aucune evaluation de la soutenabilite ou de l'absorbabilite du paquet dans le rapport dont la mission s'est tenue deux semaines apres la signature.
Afrique du Sud;souverain;Scenarios de l'AVD publique du FMI 2021;106 pourcent du PIB en 2026 en choc combine, 91 pourcent en scenario intermediaire;pourcentage du PIB;2026, Annexe VIII;FMI, Country Report No. 22/37, Annexe VIII;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Scenario central: 88 pourcent en 2026 sans stabilisation.
Afrique du Sud;souverain;Verdict de l'AVD du FMI de 2019 (le seul disponible a la signature);increasing government debt that does not stabilize, pushing debt to 77 percent of GDP by 2023, scenario baissier a 90 percent of GDP by 2024;citation;janvier 2020, Annexe IV Public DSA et Annexe V External DSA;FMI, Country Report No. 20/33;https://www.elibrary.imf.org/downloadpdf/journals/002/2020/033/002.2020.issue-033-en.pdf;2026-09-08;AVD externe du meme rapport: External debt is projected to remain slightly above 50 percent of GDP over the medium term.
