pays,cohorte,cohorte_debut,cohorte_fin,perimetre,horizon_ans,n_activites,engage_MUSD_const2024,decaisse_cumul_MUSD_const2024,taux_pondere_pct,taux_median_activite_pct,taux_q1_activite_pct,taux_q3_activite_pct,activites_exclues_censure
SEN,2010-2013,2010,2013,"prets ODA, toutes modalites",4,5,188.78,115.4,61.13,63.4,63.4,100.34,0
SEN,2010-2013,2010,2013,"dons ODA, toutes modalites",0,35,32.8,4.96,15.12,98.29,9.19,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, toutes modalites",1,35,32.8,11.02,33.61,100.0,38.4,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, toutes modalites",2,35,32.8,16.96,51.7,100.0,57.18,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, toutes modalites",3,35,32.8,20.93,63.81,100.0,81.85,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, toutes modalites",4,35,32.8,22.72,69.27,100.0,90.87,100.0,0
SEN,2010-2013,2010,2013,"prets ODA, type projet C01",0,3,172.1,15.34,8.91,0.0,0.0,9.58,0
SEN,2010-2013,2010,2013,"prets ODA, type projet C01",1,3,172.1,26.75,15.54,2.36,2.36,16.53,0
SEN,2010-2013,2010,2013,"prets ODA, type projet C01",2,3,172.1,55.22,32.09,16.21,16.21,33.28,0
SEN,2010-2013,2010,2013,"prets ODA, type projet C01",3,3,172.1,78.58,45.66,41.59,41.59,45.97,0
SEN,2010-2013,2010,2013,"prets ODA, type projet C01",4,3,172.1,98.67,57.33,63.4,56.88,63.4,0
SEN,2010-2013,2010,2013,"dons ODA, type projet C01",0,28,32.69,4.84,14.82,44.55,7.49,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, type projet C01",1,28,32.69,10.91,33.37,74.21,29.63,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, type projet C01",2,28,32.69,16.84,51.53,82.74,52.5,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, type projet C01",3,28,32.69,20.81,63.68,99.87,75.38,100.0,0
SEN,2010-2013,2010,2013,"dons ODA, type projet C01",4,28,32.69,22.61,69.16,100.0,88.95,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, type projet C01",0,34,218.68,22.47,10.28,25.86,0.0,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, type projet C01",1,34,218.68,39.95,18.27,53.16,21.18,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, type projet C01",2,34,218.68,74.35,34.0,68.51,39.58,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, type projet C01",3,34,218.68,101.68,46.5,93.7,50.91,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, type projet C01",4,34,218.68,123.56,56.5,99.02,60.34,100.0,0
SEN,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",0,2,16.68,16.73,100.34,100.34,100.34,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",1,2,16.68,16.73,100.34,100.34,100.34,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",2,2,16.68,16.73,100.34,100.34,100.34,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",3,2,16.68,16.73,100.34,100.34,100.34,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",4,2,16.68,16.73,100.34,100.34,100.34,100.34,0
SEN,2014-2017,2014,2017,"tous instruments, toutes modalites",0,51,999.39,57.05,5.71,4.43,0.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, toutes modalites",1,51,999.39,69.64,6.97,20.0,0.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, toutes modalites",2,51,999.39,128.22,12.83,29.77,0.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, toutes modalites",3,51,999.39,195.21,19.53,40.92,0.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, toutes modalites",4,51,999.39,274.32,27.45,61.3,0.0,100.0,0
SEN,2014-2017,2014,2017,"prets ODA, toutes modalites",0,11,422.56,47.8,11.31,0.0,0.0,51.06,0
SEN,2014-2017,2014,2017,"prets ODA, toutes modalites",1,11,422.56,58.38,13.81,4.2,1.49,53.57,0
SEN,2014-2017,2014,2017,"prets ODA, toutes modalites",2,11,422.56,99.12,23.46,26.1,4.39,64.42,0
SEN,2014-2017,2014,2017,"prets ODA, toutes modalites",3,11,422.56,129.21,30.58,32.56,15.46,68.33,0
SEN,2014-2017,2014,2017,"prets ODA, toutes modalites",4,11,422.56,173.33,41.02,48.69,18.47,79.61,0
SEN,2014-2017,2014,2017,"dons ODA, toutes modalites",0,31,180.16,2.77,1.54,100.0,0.24,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, toutes modalites",1,31,180.16,4.78,2.65,100.0,5.24,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, toutes modalites",2,31,180.16,22.61,12.55,100.0,18.81,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, toutes modalites",3,31,180.16,59.51,33.03,100.0,30.92,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, toutes modalites",4,31,180.16,94.5,52.45,100.0,35.34,100.0,0
SEN,2014-2017,2014,2017,"prets ODA, type projet C01",0,8,377.91,0.0,0.0,0.0,0.0,0.0,0
SEN,2014-2017,2014,2017,"prets ODA, type projet C01",1,8,377.91,10.58,2.8,3.59,0.0,4.4,0
SEN,2014-2017,2014,2017,"prets ODA, type projet C01",2,8,377.91,51.32,13.58,8.77,0.0,26.1,0
SEN,2014-2017,2014,2017,"prets ODA, type projet C01",3,8,377.91,81.41,21.54,30.92,0.0,32.56,0
SEN,2014-2017,2014,2017,"prets ODA, type projet C01",4,8,377.91,125.54,33.22,42.81,0.0,50.8,0
SEN,2014-2017,2014,2017,"dons ODA, type projet C01",0,25,180.06,2.69,1.5,68.35,0.04,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, type projet C01",1,25,180.06,4.68,2.6,99.21,1.33,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, type projet C01",2,25,180.06,22.51,12.5,99.38,2.89,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, type projet C01",3,25,180.06,59.41,32.99,100.0,20.0,100.0,0
SEN,2014-2017,2014,2017,"dons ODA, type projet C01",4,25,180.06,94.4,52.43,100.0,20.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, type projet C01",0,42,954.64,9.18,0.96,0.0,0.0,99.8,0
SEN,2014-2017,2014,2017,"tous instruments, type projet C01",1,42,954.64,21.74,2.28,4.31,0.0,99.84,0
SEN,2014-2017,2014,2017,"tous instruments, type projet C01",2,42,954.64,80.31,8.41,18.81,0.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, type projet C01",3,42,954.64,147.3,15.43,32.32,0.0,100.0,0
SEN,2014-2017,2014,2017,"tous instruments, type projet C01",4,42,954.64,226.42,23.72,48.69,0.0,100.0,0
SEN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",0,3,44.65,47.8,107.05,107.81,104.96,107.81,0
SEN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",1,3,44.65,47.8,107.05,107.81,104.96,107.81,0
SEN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",2,3,44.65,47.8,107.05,107.81,104.96,107.81,0
SEN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",3,3,44.65,47.8,107.05,107.81,104.96,107.81,0
SEN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",4,3,44.65,47.8,107.05,107.81,104.96,107.81,0
SEN,2018-2021,2018,2021,"tous instruments, toutes modalites",0,112,1751.14,168.05,9.6,1.41,0.0,100.0,0
SEN,2018-2021,2018,2021,"tous instruments, toutes modalites",1,112,1751.14,288.37,16.47,22.43,0.0,100.0,0
SEN,2018-2021,2018,2021,"tous instruments, toutes modalites",2,112,1751.14,371.31,21.2,37.63,0.0,100.0,0
SEN,2018-2021,2018,2021,"tous instruments, toutes modalites",3,112,1751.14,406.52,23.21,57.46,0.0,100.0,0
SEN,2018-2021,2018,2021,"tous instruments, toutes modalites",4,80,1055.91,386.97,36.65,87.66,0.0,100.0,32
SEN,2018-2021,2018,2021,"prets ODA, toutes modalites",0,16,465.94,128.77,27.64,2.61,0.0,100.09,0
SEN,2018-2021,2018,2021,"prets ODA, toutes modalites",1,16,465.94,235.59,50.56,98.05,1.72,100.67,0
SEN,2018-2021,2018,2021,"prets ODA, toutes modalites",2,16,465.94,277.31,59.52,98.05,24.56,101.61,0
SEN,2018-2021,2018,2021,"prets ODA, toutes modalites",3,16,465.94,280.66,60.24,98.05,24.56,101.61,0
SEN,2018-2021,2018,2021,"prets ODA, toutes modalites",4,14,411.99,305.73,74.21,99.21,42.01,101.61,2
SEN,2018-2021,2018,2021,"dons ODA, toutes modalites",0,84,729.36,38.93,5.34,10.75,0.0,100.0,0
SEN,2018-2021,2018,2021,"dons ODA, toutes modalites",1,84,729.36,52.31,7.17,38.98,0.0,100.0,0
SEN,2018-2021,2018,2021,"dons ODA, toutes modalites",2,84,729.36,84.22,11.55,45.78,0.22,100.0,0
SEN,2018-2021,2018,2021,"dons ODA, toutes modalites",3,84,729.36,115.75,15.87,64.03,0.22,100.0,0
SEN,2018-2021,2018,2021,"dons ODA, toutes modalites",4,56,105.59,71.27,67.5,91.65,0.0,100.0,28
SEN,2018-2021,2018,2021,"prets ODA, type projet C01",0,10,294.39,23.18,7.87,0.0,0.0,5.55,0
SEN,2018-2021,2018,2021,"prets ODA, type projet C01",1,10,294.39,61.99,21.06,4.17,0.41,82.65,0
SEN,2018-2021,2018,2021,"prets ODA, type projet C01",2,10,294.39,103.7,35.23,30.71,1.65,88.04,0
SEN,2018-2021,2018,2021,"prets ODA, type projet C01",3,10,294.39,107.06,36.36,30.71,1.65,88.04,0
SEN,2018-2021,2018,2021,"prets ODA, type projet C01",4,8,240.45,132.13,54.95,53.15,24.56,98.05,2
SEN,2018-2021,2018,2021,"dons ODA, type projet C01",0,71,704.29,16.13,2.29,3.69,0.0,85.86,0
SEN,2018-2021,2018,2021,"dons ODA, type projet C01",1,71,704.29,29.37,4.17,19.38,0.0,96.47,0
SEN,2018-2021,2018,2021,"dons ODA, type projet C01",2,71,704.29,61.2,8.69,36.78,0.07,98.53,0
SEN,2018-2021,2018,2021,"dons ODA, type projet C01",3,71,704.29,92.64,13.15,56.9,0.07,98.53,0
SEN,2018-2021,2018,2021,"dons ODA, type projet C01",4,46,81.28,48.19,59.3,87.66,0.0,100.0,25
SEN,2018-2021,2018,2021,"tous instruments, type projet C01",0,93,1554.52,39.66,2.55,0.15,0.0,57.0,0
SEN,2018-2021,2018,2021,"tous instruments, type projet C01",1,93,1554.52,91.82,5.91,8.21,0.0,86.71,0
SEN,2018-2021,2018,2021,"tous instruments, type projet C01",2,93,1554.52,174.69,11.24,20.75,0.0,97.34,0
SEN,2018-2021,2018,2021,"tous instruments, type projet C01",3,93,1554.52,209.8,13.5,30.55,0.0,97.34,0
SEN,2018-2021,2018,2021,"tous instruments, type projet C01",4,64,860.05,190.29,22.13,34.67,0.0,98.05,29
SEN,2018-2021,2018,2021,"prets ODA, appui budgetaire A01/A02",0,6,171.55,105.6,61.56,100.35,25.09,102.43,0
SEN,2018-2021,2018,2021,"prets ODA, appui budgetaire A01/A02",1,6,171.55,173.61,101.2,101.61,100.67,102.74,0
SEN,2018-2021,2018,2021,"prets ODA, appui budgetaire A01/A02",2,6,171.55,173.61,101.2,101.61,100.67,102.74,0
SEN,2018-2021,2018,2021,"prets ODA, appui budgetaire A01/A02",3,6,171.55,173.61,101.2,101.61,100.67,102.74,0
SEN,2018-2021,2018,2021,"prets ODA, appui budgetaire A01/A02",4,6,171.55,173.61,101.2,101.61,100.67,102.74,0
SEN,2022-2023 (JETP),2022,2023,"tous instruments, toutes modalites",0,34,372.14,70.81,19.03,45.34,0.0,100.0,0
SEN,2022-2023 (JETP),2022,2023,"tous instruments, toutes modalites",1,34,372.14,72.01,19.35,58.59,0.0,100.0,0
SEN,2022-2023 (JETP),2022,2023,"tous instruments, toutes modalites",2,13,219.72,17.87,8.13,14.03,0.0,100.0,21
SEN,2022-2023 (JETP),2022,2023,"prets ODA, toutes modalites",0,3,96.21,61.82,64.25,100.58,50.29,100.96,0
SEN,2022-2023 (JETP),2022,2023,"prets ODA, toutes modalites",1,3,96.21,61.82,64.25,100.58,50.29,100.96,0
SEN,2022-2023 (JETP),2022,2023,"prets ODA, toutes modalites",2,1,34.78,3.24,9.33,9.33,9.33,9.33,2
SEN,2022-2023 (JETP),2022,2023,"dons ODA, toutes modalites",0,23,53.49,5.27,9.85,50.96,0.0,100.0,0
SEN,2022-2023 (JETP),2022,2023,"dons ODA, toutes modalites",1,23,53.49,6.01,11.23,79.01,0.0,100.0,0
SEN,2022-2023 (JETP),2022,2023,"dons ODA, toutes modalites",2,9,8.12,2.18,26.89,100.0,7.27,100.0,14
SEN,2022-2023 (JETP),2022,2023,"prets ODA, type projet C01",0,1,34.78,0.0,0.0,0.0,0.0,0.0,0
SEN,2022-2023 (JETP),2022,2023,"prets ODA, type projet C01",1,1,34.78,0.0,0.0,0.0,0.0,0.0,0
SEN,2022-2023 (JETP),2022,2023,"prets ODA, type projet C01",2,1,34.78,3.24,9.33,9.33,9.33,9.33,0
SEN,2022-2023 (JETP),2022,2023,"dons ODA, type projet C01",0,16,51.75,5.09,9.83,23.98,0.0,100.0,0
SEN,2022-2023 (JETP),2022,2023,"dons ODA, type projet C01",1,16,51.75,5.81,11.23,53.19,0.0,100.0,0
SEN,2022-2023 (JETP),2022,2023,"dons ODA, type projet C01",2,5,7.92,1.99,25.14,100.0,7.27,100.0,11
SEN,2022-2023 (JETP),2022,2023,"tous instruments, type projet C01",0,25,308.96,8.82,2.85,2.07,0.0,93.0,0
SEN,2022-2023 (JETP),2022,2023,"tous instruments, type projet C01",1,25,308.96,9.99,3.23,33.13,0.0,98.79,0
SEN,2022-2023 (JETP),2022,2023,"tous instruments, type projet C01",2,9,219.52,17.68,8.05,9.33,0.0,100.0,16
SEN,2022-2023 (JETP),2022,2023,"prets ODA, appui budgetaire A01/A02",0,2,61.43,61.82,100.63,100.96,100.77,101.14,0
SEN,2022-2023 (JETP),2022,2023,"prets ODA, appui budgetaire A01/A02",1,2,61.43,61.82,100.63,100.96,100.77,101.14,0
SEN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",0,200,2533.98,328.64,12.97,21.34,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",1,200,2533.98,475.15,18.75,56.41,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",2,200,2533.98,653.07,25.77,69.82,0.18,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",3,200,2533.98,782.38,30.88,90.88,0.33,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",4,200,2533.98,918.25,36.24,95.63,2.46,100.0,0
SEN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",0,36,1195.39,272.87,22.83,0.0,0.0,100.08,0
SEN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",1,36,1195.39,402.1,33.64,18.65,1.72,100.34,0
SEN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",2,36,1195.39,515.22,43.1,40.61,8.23,100.35,0
SEN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",3,36,1195.39,597.39,49.97,45.97,30.9,100.35,0
SEN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",4,36,1195.39,693.44,58.01,63.4,35.41,100.35,0
SEN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",0,141,358.73,46.74,13.03,68.81,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",1,141,358.73,63.92,17.82,97.34,6.19,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",2,141,358.73,119.43,33.29,99.21,20.0,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",3,141,358.73,166.25,46.34,99.99,32.08,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",4,141,358.73,206.07,57.44,100.0,38.47,100.0,0
SEN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",0,24,910.1,67.11,7.37,0.0,0.0,1.3,0
SEN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",1,24,910.1,128.33,14.1,2.67,1.02,12.62,0
SEN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",2,24,910.1,241.46,26.53,16.21,5.16,35.74,0
SEN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",3,24,910.1,323.63,35.56,32.56,8.58,43.78,0
SEN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",4,24,910.1,419.67,46.11,49.52,14.66,63.4,0
SEN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",0,108,331.92,23.26,7.01,35.74,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",1,108,331.92,40.24,12.12,58.97,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",2,108,331.92,95.63,28.81,75.45,2.51,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",3,108,331.92,142.35,42.89,92.06,3.97,100.0,0
SEN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",4,108,331.92,182.12,54.87,96.75,17.61,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",0,155,2221.88,99.4,4.47,0.54,0.0,99.61,0
SEN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",1,155,2221.88,177.7,8.0,22.68,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",2,155,2221.88,355.5,16.0,40.92,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",3,155,2221.88,484.72,21.82,58.02,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",4,155,2221.88,620.54,27.93,69.05,0.0,100.0,0
SEN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",0,12,285.29,205.76,72.12,100.35,92.25,103.12,0
SEN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",1,12,285.29,273.77,95.96,101.61,100.35,103.12,0
SEN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",2,12,285.29,273.77,95.96,101.61,100.35,103.12,0
SEN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",3,12,285.29,273.77,95.96,101.61,100.35,103.12,0
SEN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",4,12,285.29,273.77,95.96,101.61,100.35,103.12,0
VNM,2006-2009,2006,2009,"tous instruments, toutes modalites",0,81,2268.96,65.84,2.9,78.64,0.0,100.0,0
VNM,2006-2009,2006,2009,"tous instruments, toutes modalites",1,81,2268.96,118.15,5.21,78.64,0.0,100.0,0
VNM,2006-2009,2006,2009,"tous instruments, toutes modalites",2,81,2268.96,230.73,10.17,78.64,0.39,100.0,0
VNM,2006-2009,2006,2009,"tous instruments, toutes modalites",3,81,2268.96,366.85,16.17,81.23,0.39,100.0,0
VNM,2006-2009,2006,2009,"tous instruments, toutes modalites",4,81,2268.96,482.8,21.28,90.25,2.78,100.0,0
VNM,2006-2009,2006,2009,"prets ODA, toutes modalites",0,12,1520.7,52.86,3.48,0.0,0.0,0.0,0
VNM,2006-2009,2006,2009,"prets ODA, toutes modalites",1,12,1520.7,100.26,6.59,0.7,0.0,6.87,0
VNM,2006-2009,2006,2009,"prets ODA, toutes modalites",2,12,1520.7,207.82,13.67,4.19,0.0,28.24,0
VNM,2006-2009,2006,2009,"prets ODA, toutes modalites",3,12,1520.7,340.23,22.37,8.03,0.0,51.47,0
VNM,2006-2009,2006,2009,"prets ODA, toutes modalites",4,12,1520.7,453.01,29.79,14.27,0.0,60.49,0
VNM,2006-2009,2006,2009,"dons ODA, toutes modalites",0,66,60.5,12.98,21.45,100.0,0.0,100.0,0
VNM,2006-2009,2006,2009,"dons ODA, toutes modalites",1,66,60.5,17.89,29.56,100.0,8.16,100.0,0
VNM,2006-2009,2006,2009,"dons ODA, toutes modalites",2,66,60.5,22.91,37.86,100.0,28.13,100.0,0
VNM,2006-2009,2006,2009,"dons ODA, toutes modalites",3,66,60.5,26.62,44.0,100.0,32.59,100.0,0
VNM,2006-2009,2006,2009,"dons ODA, toutes modalites",4,66,60.5,29.78,49.23,100.0,43.5,100.0,0
VNM,2006-2009,2006,2009,"prets ODA, type projet C01",0,10,1292.54,2.16,0.17,0.0,0.0,0.0,0
VNM,2006-2009,2006,2009,"prets ODA, type projet C01",1,10,1292.54,49.56,3.83,0.7,0.1,3.28,0
VNM,2006-2009,2006,2009,"prets ODA, type projet C01",2,10,1292.54,157.11,12.16,4.19,0.1,22.45,0
VNM,2006-2009,2006,2009,"prets ODA, type projet C01",3,10,1292.54,289.53,22.4,8.03,0.1,39.61,0
VNM,2006-2009,2006,2009,"prets ODA, type projet C01",4,10,1292.54,402.31,31.13,14.27,0.1,48.03,0
VNM,2006-2009,2006,2009,"dons ODA, type projet C01",0,14,25.99,3.86,14.86,0.0,0.0,63.99,0
VNM,2006-2009,2006,2009,"dons ODA, type projet C01",1,14,25.99,3.97,15.28,0.0,0.0,64.74,0
VNM,2006-2009,2006,2009,"dons ODA, type projet C01",2,14,25.99,4.31,16.57,0.0,0.0,65.74,0
VNM,2006-2009,2006,2009,"dons ODA, type projet C01",3,14,25.99,4.8,18.45,0.0,0.0,65.74,0
VNM,2006-2009,2006,2009,"dons ODA, type projet C01",4,14,25.99,5.12,19.72,0.0,0.0,65.74,0
VNM,2006-2009,2006,2009,"tous instruments, type projet C01",0,24,1318.52,6.02,0.46,0.0,0.0,0.69,0
VNM,2006-2009,2006,2009,"tous instruments, type projet C01",1,24,1318.52,53.53,4.06,0.46,0.0,18.59,0
VNM,2006-2009,2006,2009,"tous instruments, type projet C01",2,24,1318.52,161.42,12.24,1.43,0.0,28.24,0
VNM,2006-2009,2006,2009,"tous instruments, type projet C01",3,24,1318.52,294.32,22.32,1.59,0.0,51.47,0
VNM,2006-2009,2006,2009,"tous instruments, type projet C01",4,24,1318.52,407.44,30.9,1.59,0.0,60.49,0
VNM,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",0,1,47.54,50.7,106.65,106.65,106.65,106.65,0
VNM,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",1,1,47.54,50.7,106.65,106.65,106.65,106.65,0
VNM,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",2,1,47.54,50.7,106.65,106.65,106.65,106.65,0
VNM,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",3,1,47.54,50.7,106.65,106.65,106.65,106.65,0
VNM,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",4,1,47.54,50.7,106.65,106.65,106.65,106.65,0
VNM,2010-2013,2010,2013,"tous instruments, toutes modalites",0,134,4431.5,672.9,15.18,62.69,0.0,99.07,0
VNM,2010-2013,2010,2013,"tous instruments, toutes modalites",1,134,4431.5,1329.01,29.99,97.52,11.46,99.89,0
VNM,2010-2013,2010,2013,"tous instruments, toutes modalites",2,134,4431.5,1893.35,42.72,97.98,27.72,100.0,0
VNM,2010-2013,2010,2013,"tous instruments, toutes modalites",3,134,4431.5,2745.68,61.96,98.29,35.07,100.0,0
VNM,2010-2013,2010,2013,"tous instruments, toutes modalites",4,134,4431.5,3126.38,70.55,98.37,51.16,100.0,0
VNM,2010-2013,2010,2013,"prets ODA, toutes modalites",0,23,2267.82,307.99,13.58,0.0,0.0,2.38,0
VNM,2010-2013,2010,2013,"prets ODA, toutes modalites",1,23,2267.82,717.98,31.66,10.79,0.28,29.35,0
VNM,2010-2013,2010,2013,"prets ODA, toutes modalites",2,23,2267.82,1036.97,45.73,52.66,4.69,65.52,0
VNM,2010-2013,2010,2013,"prets ODA, toutes modalites",3,23,2267.82,1261.97,55.65,75.4,12.2,93.28,0
VNM,2010-2013,2010,2013,"prets ODA, toutes modalites",4,23,2267.82,1433.98,63.23,76.61,15.54,93.28,0
VNM,2010-2013,2010,2013,"dons ODA, toutes modalites",0,99,56.46,25.41,45.0,94.68,28.28,99.54,0
VNM,2010-2013,2010,2013,"dons ODA, toutes modalites",1,99,56.46,28.71,50.86,98.79,63.9,100.0,0
VNM,2010-2013,2010,2013,"dons ODA, toutes modalites",2,99,56.46,30.25,53.58,98.79,75.86,100.0,0
VNM,2010-2013,2010,2013,"dons ODA, toutes modalites",3,99,56.46,31.93,56.56,98.95,75.86,100.0,0
VNM,2010-2013,2010,2013,"dons ODA, toutes modalites",4,99,56.46,34.06,60.33,98.97,80.98,100.0,0
VNM,2010-2013,2010,2013,"prets ODA, type projet C01",0,19,1997.16,74.52,3.73,0.0,0.0,0.01,0
VNM,2010-2013,2010,2013,"prets ODA, type projet C01",1,19,1997.16,448.41,22.45,8.87,0.06,10.79,0
VNM,2010-2013,2010,2013,"prets ODA, type projet C01",2,19,1997.16,767.41,38.43,11.85,0.22,54.75,0
VNM,2010-2013,2010,2013,"prets ODA, type projet C01",3,19,1997.16,992.41,49.69,20.08,10.95,87.67,0
VNM,2010-2013,2010,2013,"prets ODA, type projet C01",4,19,1997.16,1164.42,58.3,36.93,11.29,91.45,0
VNM,2010-2013,2010,2013,"dons ODA, type projet C01",0,70,50.56,22.74,44.97,96.49,36.1,99.07,0
VNM,2010-2013,2010,2013,"dons ODA, type projet C01",1,70,50.56,25.34,50.13,98.79,73.26,99.89,0
VNM,2010-2013,2010,2013,"dons ODA, type projet C01",2,70,50.56,26.52,52.45,98.87,88.53,100.0,0
VNM,2010-2013,2010,2013,"dons ODA, type projet C01",3,70,50.56,28.12,55.62,98.87,88.53,100.0,0
VNM,2010-2013,2010,2013,"dons ODA, type projet C01",4,70,50.56,29.68,58.7,98.87,88.53,100.0,0
VNM,2010-2013,2010,2013,"tous instruments, type projet C01",0,94,3310.97,97.37,2.94,56.29,0.0,99.06,0
VNM,2010-2013,2010,2013,"tous instruments, type projet C01",1,94,3310.97,624.73,18.87,97.08,9.58,99.07,0
VNM,2010-2013,2010,2013,"tous instruments, type projet C01",2,94,3310.97,1068.67,32.28,98.29,20.77,99.07,0
VNM,2010-2013,2010,2013,"tous instruments, type projet C01",3,94,3310.97,1839.02,55.54,98.29,28.85,99.07,0
VNM,2010-2013,2010,2013,"tous instruments, type projet C01",4,94,3310.97,2168.31,65.49,98.29,37.32,99.07,0
VNM,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",0,4,270.66,233.48,86.26,49.74,0.0,99.69,0
VNM,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",1,4,270.66,269.56,99.59,98.61,97.63,99.69,0
VNM,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",2,4,270.66,269.56,99.59,98.61,97.63,99.69,0
VNM,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",3,4,270.66,269.56,99.59,98.61,97.63,99.69,0
VNM,2010-2013,2010,2013,"prets ODA, appui budgetaire A01/A02",4,4,270.66,269.56,99.59,98.61,97.63,99.69,0
VNM,2014-2017,2014,2017,"tous instruments, toutes modalites",0,103,3716.09,290.01,7.8,7.97,0.0,100.0,0
VNM,2014-2017,2014,2017,"tous instruments, toutes modalites",1,103,3716.09,860.25,23.15,40.12,0.0,100.0,0
VNM,2014-2017,2014,2017,"tous instruments, toutes modalites",2,103,3716.09,1146.62,30.86,65.7,0.2,100.0,0
