line_id,Unique ID,Project Name,Portfolios,Purpose,Priority Areas,Funder/Source,Funding Instrument,Disbursement Channel,Co-Financing: Name,Currency: Pledged,Amount: Pledged,Total US$,Total ZAR,Funding Partners,Implementing Entity,Institutional / South African Partner,Beneficiary,Status,Project Description,Date of Financing Agreement Signed*,End Date
zaf-jet-investment-register-q1-2026-overall-data-61,FR015,Mpumalanga Just Transition Programme: Social Protection Financing Study,JT-Mpumalanga,Studies/research,Social protection,,Grants,,,EUR,119000,128520.00000000001,2274804,France,"UCT-DPRU; Presidency, with support from the NT",,,D. Completed,"Social Protection and the Just Transition in South Africa -Examining the Financial Requirements of the Just Transition: This project aims to make two primary high-level contributions: i. First, it will count and profile existing workers in coal and related industries using reliable, spatially sensitive microdata. This includes an analysis of employment, wages, and wage inequality; ii. Second, it will propose a basket of social protection policies tailored to the identified worker profiles, with attendant modelled cost estimates, and potential financing options. This includes a focus on the wage inequality implications of various policy scenarios that highlight the importance of a just transition in South Africa.",2023-01-01T00:00:00,2025-05-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-62,FR016,Mpumalanga Just Transition Programme: Nkangala Skills Ecosystem Mapping,JT-Mpumalanga,Studies/research,Skills and economic diversification,,Grants,,,EUR,32000,34560,611712,France,Wits-REAL; Presidency,,,D. Completed,"Skills ecosystem mapping in the Nkangala district: This project aims to make two primary high-level contributions: This research project will conduct a detailed analysis of the skills ecosystem that could feed into the various initiatives to support local authorities and communities in the Nkangala district, which concentrates the coal-fired power plants that will be closed as a result of just transition policies. Phase 1 of the project revealed that an IRM skills ecosystem mapping project is crucial for addressing inequality by thoroughly analysing the socioeconomic and demographic profiles of diverse townships in South Africa. By identifying specific skill gaps and understanding the challenges faced by Small, Medium, and Micro Enterprises (SMMEs) in these areas, the study can inform targeted interventions aimed at reducing inequality in access to employment and economic opportunities. Furthermore, by examining the role of Technical and Vocational Education and Training (TVET) institutions and conducting a comprehensive literature review, the study ensures that proposed interventions are evidence-based and tailored to the needs of the communities studied.",2023-01-01T00:00:00,2025-05-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-63,FR017,Municipal Climate Resilience Programme,Skills,Studies/research,Skills and economic diversification,,Grants,,,EUR,70000,75600,1338120,France,"HSRC, UCT-SALDRU, PCC",,,D. Completed,"The impact of the green transition on jobs in South Africa:The project will provide an in-depth analysis of the impact of the green transition on jobs, using both a bottom-up approach (occupation-based quantification of green jobs) and a top-down approach (jobs' vulnerability based on sectoral emissions). It will then use the Spatial Tax Panel to map the jobs at the municipal level.",2023-01-01T00:00:00,2025-05-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-64,FR019,Skills Technical Assistance Programme,Skills,Technical Assistance,Technical assistance for NT/ALM,,Grants,,,EUR,90000,97200,1720440,France,Reshma Sheoraj / Jeanine BEDNAR-GIYOSE,National Treasury / Asset and Liabilities Management unit,National Treasury,C. Implementation Phase,Technical assistant to support the coordination of the public policy dialogue and the following up on the objectives related to the indicators of the Just PBL.,2024-09-04T00:00:00,2025-11-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-65,FR020,JT-Mpumalanga Community Development: JET Funding Platform Operationalisation,JT-Mpumalanga,Technical Assistance,JT-Funding Platform,,Grants,,,EUR,200000,216000,3823200,France,JET Funding Platform ( Carmen Mollman),JET-PMU,JET-PMU,C. Implementation Phase,"Analyst to support the operationalization of the JET-FP (coordination, registering grant funders onto the JET-FP, M&E""¦)",2024-11-01T00:00:00,2027-11-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-66,FR021,JT-Mpumalanga Community Development: Komati Socio-economic Support,JT-Mpumalanga,Socio-economic investments,SEF Komati,,Grants,,,EUR,200000,216000,3823200,France,,JET-PMU,,A. Planned,Support to the Komati community,,
zaf-jet-investment-register-q1-2026-overall-data-67,FR022,JT-Mpumalanga Community Development: Gender Mainstreaming Support,JT-Mpumalanga,Technical Assistance,Gender mainstreaming,,Grants,,,EUR,100000,108000,1911600,France,TOURNESOL,Premier's office of Mpumalanga province,Premier's office of Mpumalanga province,B. Approved,JET jobs first project: gender and social inclusion in the Mpumalanga province:supporting mgca (green cluster agency) in mainstreaming gender in the project with afdb,2023-01-01T00:00:00,2027-03-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-68,FP001.1,Social Employment Fund -Komati,JT-Mpumalanga,Socio-economic investments,Public Employment Programme,"Industrial Development Corporation, Agence FranÃ§aise de DÃ©veloppement (AFD)",Grants,,,ZAR,13000000,734463.2768361582,13000000,JET Funding Platform,,,"Local: Komati workers/families, communities, businesses, farmers, Eskom; Government: Dipaleseng & nearby municipalities, Gert Sibande District, Mpumalanga Province, DARDLEA, PCC",C. Implementation Phase,"The SEF Komati project focuses on expanding social employment through community-based projects that provide meaningful work, skill development, and support for social impact initiatives, ultimately stimulating bottom-up economic growth.",,
zaf-jet-investment-register-q1-2026-overall-data-69,FP001.2,TIPs: Just Transition Labour Centre,Skills,Capacity development / training,"Skills, Workforce Transition, Impacted workers","The African Climate Foundation, Agence FranÃ§aise de DÃ©veloppement (AFD), and the ClimateWorks Foundation",Grants,,,ZAR,20000000,1129943.5028248588,20000000,JET Funding Platform,,,"Local: Organised Labour, workers/families, communities, businesses",C. Implementation Phase,"The project supports unions by providing research, educational tools, and strategic options to reduce capacity burdens and enhance their engagement in just transition processes, while helping them develop informed positions on climate change and its impacts.",,
zaf-jet-investment-register-q1-2026-overall-data-70,FP001.3,JET-Skilling for Employment in Action,Skills,Capacity development / training,"Skills, labour","FirstRand Foundation, African Development Bank",Grants,,,ZAR,35500000,2005649.7175141245,35500000,JET Funding Platform,National Business Initiative,,"Local: National worker, businesses,",C. Implementation Phase,"This project equips unemployed youth and informal workers with demand-driven skills for employment in the renewable energy and appliance sectors, through partnerships with industry bodies like SAWEA, SAPVIA, EWSETA, GBCSA, and various OEMs and TVET colleges.",,
zaf-jet-investment-register-q1-2026-overall-data-71,FP001.4,Dipaleseng Just Energy Transition Indalopreneur project (D JET-IP),JT-Mpumalanga,Socio-economic investments,Social Ownership models,African Climate Foundation,Grants,,,ZAR,2529756,142924.06779661018,2529756,JET Funding Platform,Indalo Inclusive,,"Local: Grootvlei workers/families, communities, businesses, farmers, Eskom; Government: Dipaleseng & nearby municipalities, Gert Sibande District, Mpumalanga Province, DARDLEA, PCC",C. Implementation Phase,"The Dipaleseng Just Energy Transition Indalopreneur Project (D-JET-IP) expands community-led green and socially inclusive interventions by implementing low-cost business models such as waste management, solar installations, water purification, and sustainable brick manufacturing, fostering green jobs, skills development, and inclusive economic participation with scalable, high-impact potential (Phase 2)",,
zaf-jet-investment-register-q1-2026-overall-data-72,FP001.5,Electrifying the South African Minibus Taxi,NEVs,Infrastructure,Infrastructure,,Grants,,,EUR,385000,415800,7359660,JET Funding Platform,FlxEV,,Local: Cape Town,B. Approved,"A scalable electric minibus taxi (e-MBT) project at Cape Town's Century City taxi rank to support the decarbonisation of South Africa's informal transport sector. Despite carrying over 65% of daily commuters, minibus taxis are often excluded from formal transition plans. This project introduces five e-MBTs and two DC fast chargers to address infrastructure, performance, and financial viability""”while supporting a Just Energy Transition that protects livelihoods and",,
zaf-jet-investment-register-q1-2026-overall-data-73,GR001,Electricity Technical Assistance Programme,Electricity,Technical Assistance,Coal plant decommissioning,,Grants,,,EUR,7000000,7560000.000000001,133812000.00000001,Germany,Eskom,ESKOM,"Study facility serves experts, managers of Eskom and IPPs, population impacted by coal plant decomissioning",C. Implementation Phase,"Investments in the Power Sector Reform Programme: Promotion of a sustainable energy transition, e.g. by expanding renewable energy capacities",2022-12-13T00:00:00,2028-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-74,GR002,"SAGEN CET ""“ Capacities for the Energy Transition",Electricity,Capacity development / training,Enabling Environment,,Grants,,,EUR,9500000,10260000,180986400,Germany,DMRE,"DMRE, Eskom, NT, SALGA, NERSA, Universities, NTCSA, SACN and the private sector","Experts and managers from the policy-making, management, administrative and technical levels in public organisations in the power sector (intermediaries at the same time).",D. Completed,"Support institutions in the South African Energy landscape in implementing the processes and reforms they need to achieve their energy goals. Technical Assitancespecifically capacity building on power sector reform topics, organizational development and gender mainstreaming",2021-11-01T00:00:00,2024-02-29T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-75,GR003,"SAGEN ""“ South African-German Energy Programme IV",Electricity,Technical Assistance,Enabling Environment,,Grants,,SECO,EUR,15500000,16740000.000000002,296298000,Germany,DMRE,"MoE/DEE, DFFE, Presidency, OV, NERSA, Eskom, NTCSA, SALGA, Municipalities","Intermediaries to the broader target groups incl. decission makersm regulators and stakeholders on national level, municipalities",D. Completed,"South African-German Energy Programme 4 (SAGEN 4): South African-German Energy Programme 4 (SAGEN 4): Supports institutions in the South African Energy landscape in implementing the processes and reforms in the fields of power sector reform, energy policy and regulation, power systems planning and operation, embedded generation in distribution networks and municipal energy management systems",2022-01-01T00:00:00,2025-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-76,GR004,PtX Hub,Green hydrogen,Technical Assistance,Enabling Environment,,Grants,,,EUR,4069365,4394914.2,77789981.34,Germany,DTIC,"Implementation partner: Agora Energiewende, DECHEMA, CSIR Additional partners: NBI, IDC, DMRE, IDC, DFFE, DPWI, SABS, HySA, SANEDI","Government representatives at national and provincial level, municipal representatives, NGO representatives, project developers, companies,",C. Implementation Phase,Enabling Long-Term de-fossilisation Pathways through Power-to-X (PtX Pathways) South African Component: TA on supporting the build up of a sustainable PtX economy,2021-11-01T00:00:00,2025-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-77,GR006,"SAGEN CET II ""“ Capacities for the Energy Transition",Electricity,Capacity development / training,Enabling Environment,,Grants,,,EUR,4500000,4860000,86022000,Germany,DMRE,"DMRE, NTCSA, NERSA, SALGA","Experts and managers from the policy-making, management, administrative and technical levels in public organisations in the power sector (intermediaries at the same time).",C. Implementation Phase,"Support public institutions in the South African Energy landscape in implementing capacity building measures on power sector reform and electricity distribution industry reforms, as well as through organizational development and gender mainstreaming.",2024-01-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-78,GR007,Just Transition to a Decarbonised Economy (JUST SA),JT-Mpumalanga,Capacity development / training,Diversifying local economies,,Grants,,,EUR,15000000,16200000.000000002,286740000,Germany,DFFE,"JUST SA Consortium (including Green Cape, NBI, TIPS, Yes4Youth, WWF SA, GIZ)","Decission makers on national level, Government of Mpumalanga, coal value chain representatives SMMEs",C. Implementation Phase,"Just Transition to a Decarbonised Economy (JUST SA): The JUST SA project, implemented by GIZ, Green Cape, NBI, TIPS, and WWF SA, aims to support South Africa's transition to a low-carbon, climate-resilient economy. GIZ coordinates the program, providing grants and overseeing financial management, while working closely with partners such as the Department of Forestry, Fisheries and the Environment (DFFE), Presidential Climate Commission Secretariat (PCC), and other stakeholders. The project focuses on stakeholder participation in policy development, provincial green economic development, skills development, model projects on municipal level, and mine rehabilitation.",2022-06-01T00:00:00,2028-08-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-79,GR008,Electricity Community Development Initiative,Electricity,Infrastructure,Piloting social ownership models,,Grants,,,EUR,20000000,21600000,382320000,Germany,INFRA IMPACT COMMUNITY TRUST FUNDING (PTY) LTD,INFRA IMPACT COMMUNITY TRUST FUNDING (PTY) LTD,Comunity Trusts (TC) of Municipalities,C. Implementation Phase,Innovative Financing of Green Infrastructure: The project will refinance the equity shares of South African Community Trusts in projects under the national REI4P.,2022-01-01T00:00:00,2028-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-80,GR009,Electricity Infrastructure Development,Electricity,Infrastructure,Piloting social ownership models,,Grants,,,EUR,20000000,21600000,382320000,Germany,INFRA IMPACT COMMUNITY TRUST FUNDING (PTY) LTD,INFRA IMPACT COMMUNITY TRUST FUNDING (PTY) LTD,Comunity Trusts (TC) of Municipalities,B. Approved,Innovative Financing of Green Infrastructure II: Expansion of the refinancing facility under phase I.,2026-06-30T00:00:00,2030-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-81,GR011,Green Hydrogen Infrastructure Development,Green hydrogen,Infrastructure,Infrastructure,,Grants,,,EUR,23130000,24980400,442153080,Germany,"IDC, Private and public companies",Industrial Development Corporation (IDC),Catalytical project developers in the field of Green Hydrogene in South Africa,C. Implementation Phase,Promotion of Green Hydrogen,2023-11-06T00:00:00,2029-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-82,GR012,H2.SA Promoting a South African green and sustainable hydrogen economy.,Green hydrogen,Technical Assistance,Enabling Environment,,Grants,,,EUR,15500000,16740000.000000002,296298000,Germany,DEE,"DTIC, DMRE, IDC, DFFE, DPWI, SABS, HySA, SANEDI","Government representatives and at national and provincial level, municipal representatives, NGO representatives, project developers, companies.",D. Completed,"H2.SA support its partners from Government, private sector, and civil society, with expertise, resources, and building capacity to promote a South African green and sustainable hydrogen economy. The project is structured around the four areas of intervention (1) Strategy, policy and regulatory framework, (2) Private sector cooperation, (3) Capacity building, research and innovation, (4) Sustainability and Just Transition.",2021-11-01T00:00:00,2025-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-83,GR013,Skills Development Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,EUR,11000000,11880000,210276000,Germany,"NBI; TVET Colleges (False Bay and West Cost (WC), Umfolozi (KZN), Tshwane North and Ekhurhuleni West (GT), Evender (MP)) with neigbouring industrial parks and settlements",National Business Initiative (NBI),young men and women in South Africa at seleceted TVET colleges (participants of IRM skills dvelopment),C. Implementation Phase,"Skills & Employment Program (IRM): This project promotes skills development and youth employment in the field of IRM (installation, repair and maintenance). With its special focus on township economies, the programme will support the establishment of IRM hubs in selected TVET colleges. The hubs will provide business acceleration support, enabling access to markets and new supply chains as well as training services for targeted local SMEs, thus unlocking the potential for business growth and employment generation. With emphasis on green economy, technical training on renewable energies and the partneship with key industrial centers (like the SEZs in Atlantis, Tshwane North, the Isithebe Eco-Industrial park and Mpumananga based industries) to program diectly aligns with JET.",2023-09-29T00:00:00,2028-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-84,GR014,Skills Development Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,EUR,10000000,10800000,191160000,Germany,"CPUT; Selected TVET Colleges, ESKOM, IPPs",South African Renewable Energy Technology Centre (SARETEC),young men and women in South Africa at seleceted training institutions (participants of skills dvelopment in renewable energies),B. Approved,"Skills4JET: The project promotes technical skills in renewable energy technologies. The project supports a) expansion of SARETEC's training infrastructure, human resources and training offerings (wind, PV & battery storage, possibly H2), b) roll-out of technical training progams to selected TVET colleges (such as PV & battery storage, energy efficiency, solar water heating, CSP) and c) establishing training facilities for renewable engergies supporting ESKOM's JET plans (possibly at the Grootvlei Power Station or at the ESKOM's Academy of Learning - EAL). The project intends to provided training institutions who offer training programms in renewable energies with related infrastructure for own practise and operations, such as PV and battery storage (""Greening TVET"").",2026-01-31T00:00:00,2030-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-85,GR014b,Skills4Jet II,Skills,Capacity development / training,Mobilise PSET funding for JET,,Grants,,,EUR,5000000,5400000,95580000,Germany,tbd,tbd,Young men and women in South Africa at seleceted training institutions (participants of skills development in renewable energies),A. Planned,Skills4JET II: The project promotes technical skills in renewable energy technologies. It will be developped as continuation of the first Skills 4JET Programme,,
zaf-jet-investment-register-q1-2026-overall-data-86,GR015,Career Path Development for Employment (CPD4E),Skills,Capacity development / training,Employment Promotion and Job Creation for JET,,Grants,,"EU, SECO",EUR,12500000,13500000,238950000,Germany,DHET,"TVET colleges, private training providers, Universities, industry associations, NPOs","Underprivileged groups including youths, females, workers and their dependants affected by the structural changes; employment and SMME support organisations",C. Implementation Phase,"Improving the employment prospects of young South Africans in a sustainable and increasingly decarbonised economy through supporting the TVET delivery system, SMME development and entrepreneurship support, implementing active labour market policies and instruments, facilitating the transition from learning to earning, supporting conducive framework conditions and fostering innovation through pilot projects, supporting the establishment of the JET Skills Desk at the DHET",2022-06-01T00:00:00,2028-08-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-87,GR016,Support to the Presidential Youth Employment Intervention - S2PYEI,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,EUR,6000000,6480000,114112800,Germany,The Presidency,The Presidency,,D. Completed,Support to the Presidential Youth Employment Intervention - S2PYEI,2021-11-01T00:00:00,2025-03-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-88,GR017,Climate Support Programme (CSP 4),Municipalities,Technical Assistance,Enabling Environment,,Grants,,,EUR,5000000,5400000,95580000,Germany,DFFE,"Municipalities, provinces","Intermediaries to the broader target groups incl specialists and executives in relevant ministries, provincial governments, public institutions and SoEs, municipalities, companies, associations, NGOs or research institutions and think tanks",C. Implementation Phase,Policy advisory and other support to DFFE and other institutions on climate mitigation and adaptation issues,2022-01-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-89,GR018,Green Economy Transition (GET),JT-Mpumalanga,Community organisational development,Enabling Environment,,Grants,,,EUR,332000,358560,6346512,Germany,DFFE; As per Technical Cooperation Agreement between GER and SA,DFFE,Provide policymakers and stakeholders,C. Implementation Phase,,2022-03-01T00:00:00,2025-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-90,GR019,JT-Mpumalanga Community Development: Peer Learning Exchange,JT-Mpumalanga,Community organisational development,Peer Learning,,Grants,,,EUR,216601.87,233930.0196,4140561.34692,Germany,,TBD,Stakeholders relevant for the development and implementation of regional Just Energy Transition Plans in Coal Regions,C. Implementation Phase,"Interregional peer-to-peer exchange, learning, and policy dialogue in an international network and information sharing",2022-04-28T00:00:00,2027-01-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-91,GR020*,JT-Mpumalanga Capacity Development: Subnational JET Capacity Building,JT-Mpumalanga,Capacity development / training,"The funding specifically targets JET implementation, with a focus on Just and systemic process support for the transition / capacity building and the subnational level.",,Grants,,,EUR,30000000,32400000.000000004,573480000,Germany,,,,B. Approved,,2024-08-01T00:00:00,2027-07-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-92,GR021,Green Hydrogen Research Programme,Green hydrogen,Studies/research,"Catalyst Research for Sustainable Kerosene, CARE-o-SENE",,Grants,,,EUR,30274541.63,32696504.9604,578728137.79908,Germany,,"Helmholtz Center Berlin (HZB), Karlsruhe Institute for Technology (KIT), Fraunhofer Institute), INERATEC GmbH",,C. Implementation Phase,"Development of catalysts in the Fischer-Tropsch process (FT). These FT catalysts play a key role in the large-scale production of green kerosene. With the help of optimized catalysts, sustainable aircraft fuels, so-called Sustainable Aviation Fuels (SAF), can be produced more efficiently.",2022-01-03T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-93,GR022,Green Hydrogen Technical Assistance Programme,Green hydrogen,Technical Assistance,"Greening the production and use of liquefied fuel gas in Southern Africa, Green""QUEST",,Grants,,,EUR,5968202.02,6445658.1816,114088149.81432,Germany,,Forschungszentrum JÃ¼lich GmbH; University of Cape Town; Nelson Mandela University; Council for Scientific & Industrial Research (CSIR); Hydrogen Energy Applications (Pty) Ltd (HYENA) Associated partners: Sasol Ltd; SHV Energy N.V.,,C. Implementation Phase,"Developing Green-LFG value chain. Converting captured CO2, water and renewable energy into synthesis gas and green liquid gas is improved.",2022-10-03T00:00:00,2025-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-94,GR023,Skills Research Programme,Skills,Studies/research,Research&Innovation,,Grants,,,EUR,1500000,1620000,28674000,Germany,,South African Universities (tbc),South African Universities (tbc),A. Planned,"Minister Stark-Watzinger and Minister Nzimande signed a Memorandum of Understanding (MoU) in March 2023, marking the beginning of a long-term commitment. The funding announcement, a significant step in this commitment, was published in May 2024 in consultation with the National Research Foundation. The funding from BMBF will support a bilateral junior research group involving South African and German researchers, with contributions from Germany. On the South African side, NRF will implement a SARCHi research chair. The funding, a secure source of support, will cover the period from 2025 to 2030, with an optional extension until 2035.",2023-03-27T00:00:00,2030-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-95,GR024,Skills Research Programme,Skills,Studies/research,Research&Innovation,,Grants,,,EUR,3750000,4050000.0000000005,71685000,Germany,,South African Universities (tbc),South African Universities (tbc),A. Planned,"The JET Center of Excellence (2025-2029) will most likely focus on STEM. The Centres of Excellence are committed to three tasks. One of these is interdisciplinary research. Teaching, training young academics to the highest standards and promoting their mobility are also of great importance ""“ outstanding young scientists in South Africa are connected with Germany at an early stage through joint research. The Centres of Excellence also impact civil society through consultancy and knowledge transfer in politics, society and business.",2025-04-01T00:00:00,2030-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-96,GR025,Power Sector Reform Programme,Electricity,Infrastructure,Infrastructure,,Concessional loans,,,EUR,200000000,216000000,3823200000,Germany,DBSA,DBSA,,C. Implementation Phase,"creditline to DBSA to re-finance projects for RE, private transmission or Green Hydrogene",2024-12-01T00:00:00,2030-12-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-97,GR026,Renewable Energy & Green Hydrogen Financing Facility (REGHF),Electricity,Infrastructure,Infrastructure,,Concessional loans,,,EUR,150000000,162000000,2867400000,Germany,City of Cape Town,City of Cape Town,,C. Implementation Phase,"Financing of electricity infrastructure (e.g. distribution, sub-stations).",2024-12-01T00:00:00,2028-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-98,GR026b,Renewable Energy & Green Hydrogen Financing Facility (REGHF) - Accompanying measure,Electricity,Infrastructure,Infrastructure,,Grants,,,EUR,500000,540000,9558000,Germany,City of Cape Town,City of Cape Town,,C. Implementation Phase,Consultant suport to implement GR026,2024-12-11T00:00:00,2028-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-99,GR027,Climate-friendly and energy-efficient Urban Development in South Africa,Municipalities,Infrastructure,Infrastructure,,Concessional loans,,,EUR,120000000,129600000.00000001,2293920000,Germany,tbd,tbd,,A. Planned,"tbd, e.g. enery efficiency in water treatment systems",2026-12-01T00:00:00,2031-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-100,GR028,Support Programme for the Just Energy Transition (JET),Electricity,Infrastructure,Infrastructure,,Concessional loans,,,EUR,200000000,216000000,3823200000,Germany,City of Johannesburg,City of Johannesburg,,B. Approved,Refinancing of the Inestment Plan (Electricity Sector) for the City of Johannesburg,2026-12-01T00:00:00,2031-12-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-101,GR028b,Support Programme for the Just Energy Transition (JET) - Accompanying measure,Electricity,Infrastructure,Infrastructure,,Grants,,,EUR,500000,540000,9558000,Germany,tbd,tbd,,A. Planned,Consultant suport to implement GR028,2026-12-01T00:00:00,2031-12-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-102,GR029,Support Programme for the Just Energy Transition (JET) II,Electricity,Infrastructure,Infrastructure,,Concessional loans,,,EUR,200000000,216000000,3823200000,Germany,National Treasury,National Treasury,,B. Approved,Contribution to the Metro Trading Service Programme,2027-12-01T00:00:00,2032-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-103,GR029b,Support Programme for the Just Energy Transition (JET) II - Accompanying measure,Electricity,Infrastructure,Infrastructure,,Grants,,,EUR,500000,540000,9558000,Germany,tbd,tbd,,A. Planned,Consultant suport to implement GR029,2027-12-01T00:00:00,2032-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-104,GR030,Funding Programme Green Hydrogen South Africa II,Green hydrogen,Infrastructure,Infrastructure,,Grants,,,EUR,17000000,18360000,324972000,Germany,"IDC, Private and public companies",IDC,,A. Planned,"Promotion of Green Hydrogen, additional funds for GR011",2026-12-01T00:00:00,2031-12-01T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-105,GR031,Policy-based loan I and II,Electricity,Technical Assistance,Enabling Environment,,Policy Loans,,,EUR,800000000,864000000,15240960000,Germany,NT,NT,,D. Completed,"As contribution to the Just Energy Transition Partnership (JETP) with South Africa Germany concluded two Policy-Based Loans in a total amount of â‚¬800 million with the Government of South Africa, represented by National Treasury. Policy based loans recognize and support policy and institutional reforms by the Government of South Africa in support of its just energy transition, with the loans being highly concessional. This includes inter alia key legislations such as the Climate Change Act as well as the Amendment to the Electricity Regulation Act. A third policy-based loan is under discussion with a primary focus to advance the restructuring of the energy sector to promote long-term energy security in line with the implementation of a low carbon and just transition.",2022-11-01T00:00:00,2024-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-106,GR032,Skills & Employment Program (IRM) II,Skills,Capacity development / training,Mobilise PSET funding for JET,,Grants,,,EUR,11000000,11880000,210276000,Germany,TBC,National Business Initiative (NBI),young men and women in South Africa at seleceted TVET colleges (participants of IRM skills dvelopment),A. Planned,"This project promotes skills development and youth employment in the field of IRM (installation, repair and maintenance) with focus on REas Phase II of the skills and employment programme GR 13",2026-06-30T00:00:00,2030-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-107,GR033,Strengthening Societal Participation in SA's Energy Transition,Electricity,Technical Assistance,Societal Participation,,Grants,,,EUR,4000000,4320000,76464000,Germany,DEE,"IPPO, PCC, project developers, NGOs, and CSOs including women's networks, municipal administrations","IPPO; PCC; Communities, incl. those close to RE projects or benefitting from new (social) ownerhsip models; individuals, decision-makers, CSOs and others working in the SED sector",C. Implementation Phase,"Strengthening societal participation in the energy transition and expansion of RE, in-line with a socially just, ecologically equitable and societally accepted energy transition.",2025-08-01T00:00:00,2028-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-108,GR034,Promotion of the energy value chains green hydrogen and battery production (H2.SA II plus),Green hydrogen,Capacity development / training,Enabling Environment,,Grants,,EU (TBC),EUR,6000000,6480000,114696000,Germany,DEE,"DTIC, IDC, DSTI, DFFE, provinces, CSIR, SANEDI, private project developers/companies in the H2 and battery value chain, academia, think tanks, civil society","Decision makers in national and regional governments, companies, academia and civil society; population (job creation, reduction of greenhouse gases)",C. Implementation Phase,"Support the development of the energy transition value chains green hydrogen and batteries trought targeted ecosystem support for green hydrogen/PtX projects,including policy and regulatory framework, advisory services, institutional capacity building and adressing environmental and social impacts.",2026-01-01T00:00:00,2030-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-109,GR035,South African-German Energy Programme 5 (SAGEN 5),Electricity,Technical Assistance,Enabling Environment,,Grants,,,EUR,11000000,11880000,210276000,Germany,DEE,"Office of the Presidency, Ministry of Finance, NERSA, NTCSA, Eskom Distribution,, municipal associations, SALGA","Intermediaries to the broader target groups incl. decision makers regulators and stakeholders on national level, municipalities",C. Implementation Phase,"Further aid the reform of the power sector, facilitate the planning and operation of the power grid, help strengthen the flexibility of the power system and support municipal power supply.""¦",2026-01-01T00:00:00,2029-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-110,GR036,Leapfrogging to Zero Emission Transport in Sub Saharan Africa,NEVs,Technical Assistance,Enabling Environment,,Grants,,,EUR,5000000,5400000,95580000,Germany,Tbd,Tbd,"Government officials and policy makers, representative from regional and continental organisations as well as think tanks on national, regional and continental level and provincial level",A. Planned,"Support earlier and faster electrification ('technology leap') than in a business-as-usual scenario leading to emission reductions & sustainability benefits, such as reduced air pollution, economic growth and more jobs (for women) in localised value chains as well as less dependency on oil imports.",2026-08-01T00:00:00,2029-09-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-111,GR037,Integrated NDC Implementation Support in South Africa,Electricity,Technical Assistance,Enabling Environment,,Grants,,,EUR,3645000,3936600.0000000005,69677820,Germany,DFFE,DFFE,,D. Completed,Socio-economic studies and advice are intended to support the coal phase-out and the implementation of the national climate targets (NDC) in South Africa.,2021-11-24T00:00:00,2024-12-31T00:00:00
