line_id,No.,Name of Project,Location,Capacity,Expected commissioning year,Note,No,Name of plant/construction,Information/ Source/ Concept Note,"Project name, task group",Period,Source
vnm-rmp-2023-annex-i.2-131,,,"Vung Tau/
Phu My",130 MW,2024-2030,,131,Offshore windpower Farm and Green hydrogen Manufacture,GIZ,,,
vnm-rmp-2023-annex-i.2-132,,,Quang Ninh,3.000 MW,2029-2035,,132,Quang Ninh Offshore windpower Farm Project,SOVICO - BP,,,
vnm-rmp-2023-annex-i.2-133,,,Hai Phong,3.000 MW,2029-2035,,133,Hai Phong Windpower offshore Farm Project,SOVICO - BP,,,
vnm-rmp-2023-annex-i.2-134,,,Ben Tre,500MW,2023-2025,,134,Ben Tre 500MW Offshore windpower Farm Project,Mainstream AIT Corporation,,,
vnm-rmp-2023-annex-i.2-135,,,Binh Thuan,3.000 MW,2030-2035,,135,"Binh Thuan Offshore windpower Farm Project, connect at
Vinh Tan",BP,,,
vnm-rmp-2023-annex-i.2-136,,,Binh Thuan,3.400 MW,2029,,136,"Nhà máy điện gió ngoài khơi Thăng Long Offshore windpow-
er Farm Project includes transmission line from Ham Thuan
Nam (Binh Thuan) to Long Thanh (Dong Nai), heading to
Binh Duong","Enterprize Energy
Pte. Corporation Ltd",,,
vnm-rmp-2023-annex-i.2-137,,,Binh Thuan,2.000 MW,2029,,137,Thang Long Wind 2 Offshore windpower Farm,"Enterprize Energy
Pte. Corporation Ltd",,,
vnm-rmp-2023-annex-i.2-138,,,"Hai Phong,
Quang Ninh",100 MW,2023-2030,,138,"DEEP C Industrial Park combines Solar, windpower energy
and storage",DEEP C.,,,
vnm-rmp-2023-annex-i.2-139,,,Ca Mau,"~1,095 tGH2
per year",2024-2025,,139,"Pilot Green Ammonia and Hydrogen Initiative to Enable
Production (GAHIEP) at a Fertilizer Producer and Enhance
Resilience of Smallholder Agriculture in Cà Mau Province,
Viet Nam - Promoting the development and application of
green hydrogen and ammonia as well as regulatory/policy
development of GH2",UNDP,,,
vnm-rmp-2023-annex-i.2-140,,,National,-,2030,,140,"Green hydrogen production pilot project in Viet Nam,
infrastructure investment engineering (tanks, warehouses,
transportation fleets, gas pipelines, distribution stations,
hydrogen filling, etc.);","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-141,,,National,-,2030,,141,"Pilot construction of centres/facilities for the production of
specialized equipment for hydrogen transportation, storage
and distribution;","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-142,,,National,-,2030,,142,"Building a pilot hydrogen distribution station integrating
into Petrolimex petroleum stations to supply hydrogen buses
in the immediate future;","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-143,,,Tra Vinh,-,2024 - 2027,,143,Tra Vinh Green hydrogen Project,Standard Chartered (Viet Nam),,,
vnm-rmp-2023-annex-i.2-144,,,"3 potential
sites identi-
fied: Phu Quy
Island, Phu
Quoc Island,
At a site rec-
ommended by
PTSC",-,2023-2028,,144,"Development of hybrid power plant of renewable energy
combined with hydrogen and battery storage.",HDF Energy Company,,,
vnm-rmp-2023-annex-i.2-145,,,"Vung Tau/
Phu My","400 MW PV
and 100 MW
Electrolyzer",2024-2030,,145,PVN Fertilizer Plant Solar + Electrolyzer,GIZ,,,
vnm-rmp-2023-annex-i.2-146,,,"Ca Mau/ Can
Tho","400 MW PV
and 100 MW
Electrolyzer",2024-2030,,146,PVN Fertilizer Plant Solar + Electrolyzer,GIZ,,,
vnm-rmp-2023-annex-i.2-147,,,Nam Dinh,"2,000,000 TPA",-,,147,Xuan Thien Nghia Hung Green Steel Factory Project,Xuan Thien Group,,,
vnm-rmp-2023-annex-i.2-148,,,Nam Dinh,"7,500,000 TPA",-,,148,Xuan Thien Nam Green Steel Factory No. 1 Project,Xuan Thien Group,,,
vnm-rmp-2023-annex-i.2-149,,,"Vung Tau/Phy
My","8 MW PV / 2
MW electro-
lyzer",2024-2030,,149,"Renewable energy for glass manufacturer Solar + Electro-
lyzer",GIZ,,,
vnm-rmp-2023-annex-i.2-150,,,"Vung Tau/Phy
My","80 MW PV/20
MW electro-
lyzer",2024-2030,,150,"Renewable energy for various companies such as NSG (float
glass) and Nippon Sanso (industrial gas)",GIZ,,,
vnm-rmp-2023-annex-i.2-151,,,"Ho Chi Minh
City/ Binh
Duong","80 MW PV/20
MW electro-
lyzer",2024-2030,,151,"Renewable energy for various companies such as
semiconductor manufacturing and Air Liquide (industrial
gas).",GIZ,,,
vnm-rmp-2023-annex-i.2-152,,,"Ho Chi Minh
City","3.000 ton per
day",-,,152,Waste to Energy Power Plant,Standard Chartered (Viet Nam),,,
vnm-rmp-2023-annex-i.2-153,,,Phu Yen,"270.000 ton
per year",-,,153,Baigoc Ammonia Complex,Standard Chartered (Viet Nam),,,
vnm-rmp-2023-annex-i.2-154,,,Can Tho,1.050,2026-2027,,154,LNG O Mon II Project,VietinBank,,,
vnm-rmp-2023-annex-i.2-155,,,National,-,2024-2025,,155,Establish and operate Credit Enhancement Facility (CEF),UK,,,
vnm-rmp-2023-annex-i.2-156,,,Quang Ninh,-,2023 - 2025,,156,"Project to utilize residual heat to generate electricity - Lam
Thach Cement Plant",BIDV,,,
vnm-rmp-2023-annex-i.2-157,,,Thai Binh,-,2023 - 2025,,157,Investment project for solar panel manufacturing factory,BIDV,,,
vnm-rmp-2023-annex-i.2-158,,,,"8,6 MW",2024,,158,EaTih Hydropower Project,BIDV,,,
vnm-rmp-2023-annex-i.2-159,,,"Ha Tinh, Tra
Vinh",-,2030,,159,"South-East Asia Link Project to reduce transmission loss and
increase transmission capacity in North – South",Electricité de France (EDF),,,
vnm-rmp-2023-annex-i.2-160,,,"Northern Viet
Nam","50MW/
50MWh",2023 ~ 2025,,160,"Northern battery energy storage system development –
Phase 1",ADB,,,
vnm-rmp-2023-annex-i.2-161,,,"Northern Viet
Nam","100MW/
200MWh",2026 ~ 2030,,161,"Northern battery energy storage system development –
Phase 2",ADB,,,
vnm-rmp-2023-annex-i.2-162,,,"Southern Viet
Nam","150MW/
300MWh",2031 - 2050,,162,Southern battery energy storage system development,ADB,,,
vnm-rmp-2023-annex-i.2-163,,,Son La,1.200,2031 - 2050,,163,"Development of Dong Phu Yen pumped storage hydropower
plant",ADB,,,
vnm-rmp-2023-annex-i.2-164,,,Son La,1.000,2031 - 2050,,164,"Development of Tay Phu Yen pumped storage hydropower
plant",ADB,,,
vnm-rmp-2023-annex-i.2-165,,,Son La,900,2031 - 2050,,165,"Development of Moc Chau pumped storage hydropower
plant",ADB,,,
vnm-rmp-2023-annex-i.2-166,,,Thanh Hoa,1.000,2031 - 2050,,166,"Development of Chau Thon pumped storage hydropower
plant",ADB,,,
vnm-rmp-2023-annex-i.2-167,,,Lam Đong,1.200,2031 - 2050,,167,"Development of Don Duong pumped storage hydropower
plant",ADB,,,
vnm-rmp-2023-annex-i.2-168,,,Ninh Thuan,1.200,2031 - 2050,,168,Development of Ninh Son pumped storage hydropower plant,ADB,,,
vnm-rmp-2023-annex-i.2-169,,,Binh Thuan,1.200,2031 - 2050,,169,"Development of Ham Thuan Bac pumped storage
hydropower plant",ADB,,,
vnm-rmp-2023-annex-i.2-170,,,Ninh Thuan,3.600,2031 - 2050,,170,"Development of Phuoc Hoa pumped storage hydropower
plant",ADB,,,
vnm-rmp-2023-annex-i.2-171,,,Binh Thuan,150 MW,2025-2028,,171,Phong Phu pumped storage hydropower plant project,"Ecotech Vietnam Technology
Investment and Trading Joint Stock
Company",,,
vnm-rmp-2023-annex-i.2-172,,,National,-,2023-2025,,172,Smart and Energy Efficiency city Project (SEECP),ADB Proposal,,,
vnm-rmp-2023-annex-i.2-173,,,"National, and
in Ha Noi,
Ho Chi Minh,
and Da Nang
cities",-,2024-2027,,173,"Energy efficiency and electrification in administrative,
commercial, and residential buildings","MOC-MOIT-UNDP and City people’s
Committees",,,
vnm-rmp-2023-annex-i.2-174,,,National,-,2024-2030,,174,Scaling up co-processing in cement sector in Vietnam,Norway Embassy Proposal,,,
vnm-rmp-2023-annex-i.2-175,,,Quang Ngai,-,2024-2026,,175,"Installing 110/22 kV power lines and stations, using part of
the EVN grid to operate Dung Quat oil refinery",Viet Nam Oil and Gas Group -(PVN),,,
vnm-rmp-2023-annex-i.2-176,,,Vung Tau,-,2024-2026,,176,"Additional power capacity for Block 09-1 with wind turbines,
serving the needs of oil and gas exploitation",Viet Nam Oil and Gas Group -(PVN),,,
vnm-rmp-2023-annex-i.2-177,,,National,"500 Grade
3 charging
stations",2025-2030,,177,"Investment project in electric charging station system
providing charging services for electric cars of different
brands – Phase 1","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-178,,,National,"500 Grade
3 charging
stations",2030,,178,"Investment project in electric charging station system pro-
viding charging services for electric cars of different brands
– Phase 2","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-179,,,"Ca Mau/
Can Tho",-,2024-2030,,179,"Several heavy-duty trucks and corresponding hydrogen
refueling stations to connect in order to demonstrate
heavy-duty road transport",GIZ Proposal,,,
vnm-rmp-2023-annex-i.2-180,,,National,-,-,,180,"Build laboratories for new products such as hydrogen,
biofuel, synthetic fuel, etc.","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-181,,,National,-,2022-2030,,181,"Support the development of a database that is integrated
and synchronized with the national database system on
greenhouse gas emission reduction","Decision 896/QD-TTg:
National Climate Change Strategy",,,
vnm-rmp-2023-annex-ii-1,1,,,,,JETP Political Declaration,,,,"Technical support for the Secretariat to implement the JETP
Declaration, the Secretariat’s standing agency and working
groups supporting JETP implementation",2023-2030,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-2,2,,,,,"Decision
1009/QD-TTg: Scheme to Implement the
JETP Declaration",,,,"Support the review of relevant legal documents and propose
to competent authorities to amend, supplement, abolish or
promulgate new regulations, ensuring compliance with the
process of implementing the JETP Declaration",2023-2030,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-3,3,,,,,"Decision
1009/QD-TTg: Scheme to Implement the
JETP Declaration",,,,"Support research and propose a roadmap to build and
complete a long-term legal framework in accordance with
the roadmap to achieve net zero emissions and meet the
requirements of low-emission development, transition from
exploitation and use of fossil fuel to renewable energy or
low-emission energy",2024-2025,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-4,4,,,,,"Decision
1009/QD-TTg: Scheme to Implement the
JETP Declaration",,,,"Support the development and completion of regulations to
create conditions for businesses implementing energy
transition projects to directly access financial resources from
international support sources without government
guarantees.",2024-2025,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-5,5,,,,,MOF proposal,,,,"Conduct impact assessment for JETP implementation on Viet
Nam’s public finance.",2022-2025,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-6,6,,,,,"Decree 06/2022/ND-CP,
National Climate Change Strategy,
Green Growth Action Plan",,,,"Complete the measurement, reporting, verification (MRV)
system and conduct greenhouse gas inventories at facility,
sector and area levels.",2022-2030,"State Budget,
grant ODA
business capital
and other
support sources"
vnm-rmp-2023-annex-ii-7,7,,,,,"Decison 882/QD-TTg:
National Green Growth Strategy",,,,"Support proposals to develop reasonable price and fee
mechanisms for shared energy infrastructure (power
transmission lines, gas pipelines, liquefied natural gas
warehouses...).",2022-2025,"State Budget,
grant ODA"
vnm-rmp-2023-annex-ii-8,8,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support reviewing, proposing the development and completion
of incentive policies and support for disadvantaged groups and
groups negatively affected by employment during the energy
transition process.",2022-2025,"State Budget,
grant ODA"
vnm-rmp-2023-annex-ii-9,9,,,,,"Decision 882/QD-TTg:
National Green Growth Strategy 2021-2030",,,,"Support the construction, establishment and operation of a
domestic carbon credit exchange and connect with the world
carbon market",2022-2030,"State Budget,
grant ODA"
vnm-rmp-2023-annex-ii-10,10,,,,,"GIZ- Concept Note
Decision 896/QD-TTg:
National Climate Change Strategy to 2050",,,,"Support the proposal and implementation of measures to
promote economic restructuring towards long-term carbon
neutrality beyond fossil fuel-based growth",2024-2030,"German
Government"
vnm-rmp-2023-annex-ii-11,11,,,,,IPG proposal,,,,"Support the development and implementation of the Green
Hydrogen Development in Viet Nam",2024-2030,Grant ODA
vnm-rmp-2023-annex-ii-12,12,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Negotiate the suspension of investment in coal-fired power
plants that are behind schedule and facing difficulties in
changing shareholders and arranging capital; negotiate the
closure of inefficient and old coal-fired power plants",2023-2030,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-13,13,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Develop a roadmap to reduce greenhouse gas emissions from
coal-fired power plants in sync with the carbon market
development roadmap in Vietnam, connecting with the global
carbon market.",2023-2030,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-14,14,,,,,IPG proposal,,,,"Select coal power plants to pilot energy conversion to learn from
experiences and propose a roadmap to apply to other coal power
plants through the JETP Flexible Platform",2026-2028,"IPG, and other
Development
Partners"
vnm-rmp-2023-annex-ii-15,15,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research and develop proposed mechanisms to support
domestic enterprises in developing, manufacturing, and
maintaining renewable energy equipment",2023-2030,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-16,16,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research and develop two inter-regional renewable energy
industrial and service centres, including electricity production,
transmission and consumptionrenewable energy equipment
manufacturing industry, construction, installation, related
services, building renewable energy industrial ecosystems in
areas with great potential such as the North, South Central,
and South.",2024-2025,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-17,17,,,,,,,,,"Support the development and implementation of the project to
establish the National Renewable Energy Center the
development of renewable energy industry.",2024-2030,"Grant ODA, state
budget,
corporate
capital and
other sources"
vnm-rmp-2023-annex-ii-18,18,,,,,"Decision 280/QD-TTg:
National Energy Efficiency Programme",,,,Research and establish the Vietnam Energy Data Center.,2025-2030,"State Budget,
and other
support sources"
vnm-rmp-2023-annex-ii-19,19,,,,,"Decision 1009/QĐ-TTg:
Scheme to Implement the JETP Declaration",,,,"Develop and implement regulations on renewable energy ratio
for electric distribution organizations, combined with building
renewable energy credit markets",2023-2025,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-20,20,,,,,Petrovietnam,,,,Develop a map of potential off-shore wind in Vietnam,2024-2027,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-21,21,,,,,IPG proposal,,,,"Develop and implement the Offshore Wind Power Development
Support Program",2024-2030,"Federal Republic
of Germany"
vnm-rmp-2023-annex-ii-22,22,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Supporting the development of offshore wind power capacities
and provide technical assistance to MOIT, MONRE, on marine
spatial planning and offshore wind power policies",2024 - 2028,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-23,23,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Technical support for wind speed measurement, geophysical
survey for pilot installation of 2 GW of offshore wind power;
propose measures to complete processes and regulations
related to offshore wind power monitoring",2024 - 2028,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-24,24,,,,,UNDP - Norway,,,,"Support to Offshore windpower development and National
marine spatial masterplan - Phase 1",2023-2029,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-25,25,,,,,UNDP - Norway,,,,"Support to Offshore windpower development and National ma-
rine spatial masterplan - Phase 2",2024-2029,"Grant ODA, and
support from
GFANZ and other
stakeholders"
vnm-rmp-2023-annex-ii-26,26,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support the development and application of the energy saving
service company (ESCO) business model",2023 - 2025,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-27,27,,,,,"Decision 385/QD-BXD:
Construction Sector Action Plan on
Responding to Climate Change",,,,"Technical support to determine energy consumption and GHG
emissions targets, propose measures to save and improve
energy efficiency for different types of housing, construction
projects, and construction material production facilities",2022-2025,"Grant ODA, state
budget and
other sources"
vnm-rmp-2023-annex-ii-28,28,,,,,"Decree 06/2022/ND-CP:
Decision 896/QD-TTg: National Climate
Change Strategy
Decison 882/QD-TTg: National Green
Growth Strategy",,,,"Strengthen the capacity of businesses and other stakeholders
to prepare and participate in domestic and international carbon
markets",2023 - 2030,"State budget,
grant ODA,
corporate
capital and
other sources"
vnm-rmp-2023-annex-ii-29,29,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support the development of the smart grid to enhance the
ability to integrate renewable energy into the power system and
reduce power losses on the grid",2024 – 2025,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-30,30,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research, propose a mechanism to encourage load reduction
during peak hours of the power system or change management
methods to operate during periods of low electricity prices",2024 - 2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-31,31,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research and propose the scope, priorities and models of
private sector investment in the power grid",2024 - 2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-32,32,,,,,"Decison 882/QD-TTg:
National Green Growth Strategy",,,,"Support to review and propose improvements to the legal
framework to facilitate private sector investment",2024 - 2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-33,33,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support the development of a policy framework and improve the
capacity of officials and technicians to develop energy storage
systems",2024 - 2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-34,34,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Assess the need for Battery Energy Storage Systems (BESS) and
other storage units; support Feasibility Studies",2024 - 2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-35,35,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support the development and implementation of regulations
and preferential policies for the development of shared charging
systems providing green energy for transport vehicles",2025-2030,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-36,36,,,,,"Decision 896/QD-TTg:
National Climate Change Strategy
Decison 882/QD-TTg:
National Green Growth Strategy",,,,"Support the proposal of measures to restructure the
transport market, promote individuals and transport enterprises
to convert to electric and high-volume transport vehicles;
enhance the connection of transport modes, reduce costs,
improve the quality of transport services",2022-2030,"State budget,
grant ODA"
vnm-rmp-2023-annex-ii-37,37,,,,,Decision No. 876/QD-TTg in 2022,,,,"Promote bus and taxi transportation business to convert to
electric vehicles",2022 - 2030,"State budget,
grant ODA"
vnm-rmp-2023-annex-ii-38,38,,,,,IPG proposal,,,,"Support the establishment of a Centre of Excellence (CoE) for
offshore wind power",2023-2024,UK Government
vnm-rmp-2023-annex-ii-39,39,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research and propose national criteria, standards, and
technical regulations for identifying clean technologies and
green transformation projects; supplement national standards
and regulations in the field of recycling and waste utilization
from energy production",2024-2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-40,40,,,,,"Decision 1009/QD-TTg:
Scheme to Implement
the JETP Declaration;
Petrovietnam",,,,"Research and develop applications of new energy sources (green
hydrogen, green ammonia); pilot study for carbon capture, use
and storage (CCUS); co-firing with ammonia for boilers
(coal-fired power), methane recovery in coal mining and oil and
gas exploitation, storage, processing, and transportation of
coal, petroleum, and other fuel, include on-shore, off-shore, and
continental shelf of Vietnam.",2024-2028,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-41,41,,,,,Petrovietnam,,,,Pilot project on green hydrogen production,2024-2028,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-42,42,,,,,Petrovietnam,,,,"Pilot project on integrating green hydrogen into Ca Mau
Fertilizer Plant",2024-2028,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-43,43,,,,,"Decision 1009/QD-TTg:
Scheme to Implement
the JETP Declaration;
Petrovietnam",,,,"Support research on international experience to propose
roadmaps, solutions for transfer and application of green
hydrogen technology, green ammonia, carbon capture, use and
storage.",2024-2028,"Grant ODA, state
budget and
other sources"
vnm-rmp-2023-annex-ii-44,44,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Develop and update a list of GHG emission reduction
technologies to propose solutions and cooperation mechanisms
for transfer and application to promote energy transition
in Viet Nam.",2022-2025,"State budget,
grant ODA"
vnm-rmp-2023-annex-ii-45,45,,,,,Decision 500/QD-TTg PDP8,,,,"Research on technology and solutions to adjust the combustion
mode in boilers of the thermal power plant when the actual load
and fuel supply vary unpredictably from the original design, in
order to increase operational and energy efficiency and reduce
greenhouse gas emissions.",2024-2025,"Grant ODA, state
budget and
other sources"
vnm-rmp-2023-annex-ii-46,46,,,,,Decision 500/QD-TTg PDP8,,,,"Research on technology and solutions to co-burn biomass
pellets with coal in thermal power plants to contribute to
proactive fuel sources and reduce emissions",2024-2025,"Grant ODA, state
budget and
other sources"
vnm-rmp-2023-annex-ii-47,47,,,,,"Decision 1009/QĐ-TTg:
Scheme to Implement the JETP Declaration",,,,"Research of using heat from exhaust fumes of thermal
power plants to co-generate and supply refrigeration to reduce
self-consumption and promote energy efficiency.",2024-2026,"Grant ODA, state
budget and
other sources"
vnm-rmp-2023-annex-ii-48,48,,,,,"Decision 680/QD-TTg:
Master plan for geological baseline survey
on minerals for the period 2021-2030, with
a vision to 2050",,,,"Investigate and evaluate overall geothermal potential for green
energy production.",2024-2030,"State budget,
grant ODA and
other sources"
vnm-rmp-2023-annex-ii-49,49,,,,,"Decision 896/QD-TTg:
National Climate Change Strategy
Decison 882/QD-TTg:
National Green Growth Strategy",,,,"Assess and forecast human resource needs and the ability to
supply human resources to meet the energy transition needs of
different sectors; support the development of a national labour
market information system for green industries, connecting
supply and demand in the green labour market.",2022-2030,"State budget,
grant ODA and
other sources"
vnm-rmp-2023-annex-ii-50,50,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research and propose a support mechanisms to ensure reason-
able electricity prices for affected, vulnerable, and low-income
groups.",2024-2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-51,51,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support the development and application of guidance on impact
assessment, readiness to participate in a just energy transition
and capacity building needs of target groups",2024-2027,"State budget,
grant ODA"
vnm-rmp-2023-annex-ii-52,52,,,,,"IPG proposal;
Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Review and analyze the statistics of workers who have lost
their jobs due to the energy transition; develop and implement
training and retraining programs for employees; promote social
dialogue that ensures a just energy transition",2024-2028,"Grant ODA, IPG,
GFANZ"
vnm-rmp-2023-annex-ii-53,53,,,,,IPG: Concept Note 6,,,,"Support research and propose measures towards equitable and
sustainable energy transition of Quang Ninh and Thai Nguyen
coal power plants",2024-2029,"UNDP, IPG"
vnm-rmp-2023-annex-ii-54,54,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Support the implementation of economic, social and
environmental impact assessments in the process of just energy
transition for relevant stakeholders",2024-2026,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-55,55,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Establish vocational training and career centers to ensure the
objectives of a just energy transition",2024-2028,Grant ODA
vnm-rmp-2023-annex-ii-56,56,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Improve the capacity of organizations and enterprises in
proposing and implementing projects using resources from
financial institutions, funds and international private investors",2024-2030,"State Budget,
grant ODA"
vnm-rmp-2023-annex-ii-57,57,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Develop and propose advocacy programs to raise awareness of
implementing a just energy transition",2024-2030,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-58,58,,,,,,,,,"Capacity building for the National Innovation Center on green
hydrogen and related vocational training",2024-2030,"Grant ODA,
and support
from GFANZ
and other
stakeholders"
vnm-rmp-2023-annex-ii-59,59,,,,,IPG proposal,,,,"Support the development and implementation of traceability
and carbon monitoring in the production, preservation,
processing and transportation of pangasius, shrimp and dragon
fruit, contributing to promoting the application of renewable
energy and improving energy efficiency",2024-2029,"State budget,
grant ODA"
vnm-rmp-2023-annex-ii-60,60,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Establishment of the International Center for Renewable Energy
located in Viet Nam",2024 - 2025,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
vnm-rmp-2023-annex-ii-61,61,,,,,"Decision 1009/QD-TTg:
Scheme to Implement the JETP Declaration",,,,"Research and propose solutions and roadmaps to promote
cooperation in connecting power grids with countries in the re-
gion to enhance system connectivity, power exchange, and take
advantage of countries’ resource strengths",2024 - 2025,"Grant ODA, and
support from
GFANZ and
other
stakeholders"
