term_row_id,term_id,kind,list,label,definition,scope_note,domain,range,external_scheme,external_uri,mapping_relation,recorded_at,decided_by,status,supersedes,notes
measure.count.1,count,value,measure,count,"A count, with the publisher's unit named: rows, locomotives, officials trained, households.",counting,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.envelope.1,envelope,value,measure,envelope,A total for a partnership or a portfolio.,money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.estimate.1,estimate,value,measure,estimate,"A cost estimate on a plan line, with no funder.",money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.flow.1,flow,value,measure,flow,"A money movement on an agreement, typed by flow_type and timed by an event or a period.",money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.grace_years.1,grace_years,value,measure,grace years,The grace period of a loan in years.,money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.grant_element.1,grant_element,value,measure,grant element,"The grant element of a loan, as a share of its face value.",money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.indicator.1,indicator,value,measure,indicator,"A macro-fiscal value of a country or a party, with the publisher's indicator code.",macro,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.interest_rate.1,interest_rate,value,measure,interest rate,"The interest rate of a loan, as a publisher reports it at a date.",money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.length.1,length,value,measure,length,"The length of a linear asset, such as a transmission line, with its unit.",physical,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.marker.1,marker,value,measure,marker,"The donor's policy-marker score of an activity at a reporting year: 0, 1 or 2, or not_screened.",marker,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.maturity_years.1,maturity_years,value,measure,maturity years,The maturity of a loan in years.,money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.state.1,state,value,measure,state,A state of a subject on one of the shared status axes.,physical,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.target.1,target,value,measure,target,"A physical or social objective with a target timing, such as a renewable share by 2030.",physical,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.A01.1,A01,value,modality,General budget support,Money paid to a recipient government's budget for its own use.,,,,OECD DAC,TypeOfAid:A01,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.A02.1,A02,value,modality,Sector budget support,Money paid to a recipient government's budget for one sector.,,,,OECD DAC,TypeOfAid:A02,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.B01.1,B01,value,modality,Core support to NGOs and other private bodies,Money paid to the general budget of a non-governmental or private body.,,,,OECD DAC,TypeOfAid:B01,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.B02.1,B02,value,modality,Core contributions to multilateral institutions,Money paid to the general budget of a multilateral institution.,,,,OECD DAC,TypeOfAid:B02,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.B03.1,B03,value,modality,Contributions to specific-purpose programmes and funds,"Money paid to a programme or fund with a set purpose, managed by an implementing partner.",,,,OECD DAC,TypeOfAid:B03,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.B04.1,B04,value,modality,Basket funds or pooled funding,Money paid into a fund pooled by several donors.,,,,OECD DAC,TypeOfAid:B04,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.C01.1,C01,value,modality,Project-type interventions,"Money for a project with its own inputs, activities and outputs.",,,,OECD DAC,TypeOfAid:C01,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.D01.1,D01,value,modality,Donor country personnel,Experts from the donor country paid by the donor.,,,,OECD DAC,TypeOfAid:D01,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.D02.1,D02,value,modality,Other technical assistance,Technical assistance other than donor country personnel.,,,,OECD DAC,TypeOfAid:D02,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.E01.1,E01,value,modality,Scholarships and training in the donor country,Grants for students and trainees studying in the donor country.,,,,OECD DAC,TypeOfAid:E01,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.F01.1,F01,value,modality,Debt relief,"Forgiveness, rescheduling or other relief of a recipient's debt.",,,,OECD DAC,TypeOfAid:F01,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
modality.unknown.1,unknown,value,modality,unknown,No line states the type of aid of the agreement.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
money.announced.1,announced,value,money,announced,The agreement has been announced publicly.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
money.approved.1,approved,value,money,approved,The funder's board or authority has approved the agreement.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
money.cancelled.1,cancelled,value,money,cancelled,"The agreement was cancelled after announcement, approval or signature.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
money.mou.1,mou,value,money,MoU,"A memorandum of understanding records the agreement, without a binding commitment.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
money.signed.1,signed,value,money,signed,The agreement has been signed by the parties.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
money.withdrawn.1,withdrawn,value,money,withdrawn,A party withdrew from the agreement.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_classification.component.1,component,value,project_classification,component,"A part of a larger project, related to it by component_of.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_classification.programme.1,programme,value,project_classification,programme,An undertaking that groups other projects under one governance or budget envelope.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_classification.project.1,project,value,project_classification,project,"A single undertaking with its own scope, owner and duration.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.cancelled.1,cancelled,value,project_stage,cancelled,The project was cancelled before completion.,,,,OC4IDS,projectStatus:cancelled,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.completion.1,completion,value,project_stage,completion,The project is being completed and handed over.,,,,OC4IDS,projectStatus:completion,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.decommissioned.1,decommissioned,value,project_stage,decommissioned,The project has been decommissioned.,,,,OC4IDS,projectStatus:decommissioned,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.decommissioning.1,decommissioning,value,project_stage,decommissioning,The project is being decommissioned.,,,,OC4IDS,projectStatus:decommissioning,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.identification.1,identification,value,project_stage,identification,The project is being identified and scoped.,,,,OC4IDS,projectStatus:identification,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.implementation.1,implementation,value,project_stage,implementation,The project is being built or delivered.,,,,OC4IDS,projectStatus:implementation,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.maintenance.1,maintenance,value,project_stage,maintenance,The project is complete and being operated and maintained.,,,,OC4IDS,projectStatus:maintenance,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
project_stage.preparation.1,preparation,value,project_stage,preparation,"The project is being designed, appraised and prepared for funding and procurement.",,,,OC4IDS,projectStatus:preparation,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
retrieval_status.blocked.1,blocked,value,retrieval_status,blocked,The server refused the retrieval.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.collected.1,collected,value,retrieval_status,collected,Bytes came back and were stored as a snapshot.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.fetch_error.1,fetch_error,value,retrieval_status,fetch error,The retrieval failed before any HTTP response.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.http_error.1,http_error,value,retrieval_status,http error,The server returned an HTTP error.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.invalid_content.1,invalid_content,value,retrieval_status,invalid content,Bytes came back but are not the document.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.invalid_response.1,invalid_response,value,retrieval_status,invalid response,The server returned a response that could not be read.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.missing.1,missing,value,retrieval_status,missing,The document was not found at its URL.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.not_applicable.1,not_applicable,value,retrieval_status,not applicable,No retrieval applies to the document.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.not_modified.1,not_modified,value,retrieval_status,not modified,The server reported the document unchanged since the last retrieval.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.not_published.1,not_published,value,retrieval_status,not published,The document has not been published.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
retrieval_status.retryable_http_error.1,retryable_http_error,value,retrieval_status,retryable http error,The server returned an HTTP error that may clear on a retry.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
role.author.1,author,value,role,author,The publisher that wrote a document.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.beneficiary.1,beneficiary,value,role,beneficiary,The party the activity is meant to benefit.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.channel.1,channel,value,role,channel,"The party through which the money passes to the recipient, such as a development bank managing a donor's grant.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.co_signatory.1,co_signatory,value,role,co signatory,A publisher that co-signs a document written with others.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.contractor.1,contractor,value,role,contractor,The party contracted to build or supply.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.coordinating_agency.1,coordinating_agency,value,role,coordinating agency,The body that coordinates the parties to the subject.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.endorser.1,endorser,value,role,endorser,The party that endorses the subject without funding it.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.funder.1,funder,value,role,funder,The party that provides the money.,,,,IATI,OrganisationRole:1,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.guarantor.1,guarantor,value,role,guarantor,The party that guarantees an obligation.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.host.1,host,value,role,host,"The party that hosts the subject, such as the body hosting a secretariat or a web page.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.implementing_entity.1,implementing_entity,value,role,implementing entity,The party that carries out the activity.,,,,IATI,OrganisationRole:4,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.lead_agency.1,lead_agency,value,role,lead agency,The public body that leads the subject.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.operator.1,operator,value,role,operator,The party that operates an asset.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.promoter.1,promoter,value,role,promoter,The party that puts a project forward.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.signatory.1,signatory,value,role,signatory,The party that signs a document.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
role.standards_body.1,standards_body,value,role,standards body,The body whose standard the subject follows.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
term_kind.class.1,class,value,term_kind,class,A term that names a kind of thing the ledger records.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
term_kind.relation.1,relation,value,term_kind,relation,"A term that names a relation between two kinds, with a domain and a range.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
term_kind.value.1,value,value,term_kind,value,A term that names one value of a closed list.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
